COUNTRY	X
WORLD	7265786 
More developed regions	1248089 
Less developed regions	6017697 
Least developed countries	931900 
Less developed regions, excluding least developed countries	5085796 
Less developed regions, excluding China	4617094 
High-income countries	1394959 
Middle-income countries	5245909 
Upper-middle-income countries	2371732 
Lower-middle-income countries	2874178 
Low-income countries	621978 
Sub-Saharan Africa	936913 
AFRICA	1156649 
Eastern Africa	383675 
Burundi	10817 
Comoros	770 
Djibouti	876 
Eritrea	5110 
Ethiopia	96959 
Kenya	44864 
Madagascar	23572 
Malawi	16695 
Mauritius	1269 
Mayotte	234 
Mozambique	27216 
Reunion	855 
Rwanda	11342 
Seychelles	96 
Somalia	10518 
South Sudan	11911 
Uganda	37783 
United Republic of Tanzania	51823 
Zambia	15721 
Zimbabwe	15246 
Middle Africa	147469 
Angola	24228 
Cameroon	22773 
Central African Republic	4804 
Chad	13587 
Congo	4505 
Democratic Republic of the Congo	74877 
Equatorial Guinea	821 
Gabon	1688 
Sao Tome and Principe	186 
Northern Africa	219736 
Algeria	38934 
Egypt	89580 
Libya	6259 
Morocco	33921 
Sudan	39350 
Tunisia	11130 
Western Sahara	561 
Southern Africa	61970 
Botswana	2220 
Lesotho	2109 
Namibia	2403 
South Africa	53969 
Swaziland	1269 
Western Africa	343799 
Benin	10598 
Burkina Faso	17589 
Cabo Verde	514 
Cote d'Ivoire	22157 
Gambia	1928 
Ghana	26787 
Guinea	12276 
Guinea-Bissau	1801 
Liberia	4397 
Mali	17086 
Mauritania	3970 
Niger	19114 
Nigeria	177476 
Saint Helena	4 
Senegal	14673 
Sierra Leone	6316 
Togo	7115 
ASIA	4349561 
Eastern Asia	1605408 
China	1369436 
China, Hong Kong SAR	7227 
China, Macao SAR	578 
Dem. People's Republic of Korea	25027 
Japan	126795 
Mongolia	2910 
Republic of Korea	50074 
Other non-specified areas	23362 
South-Central Asia	1865389 
Central Asia	66288 
Kazakhstan	17372 
Kyrgyzstan	5844 
Tajikistan	8296 
Turkmenistan	5307 
Uzbekistan	29470 
Southern Asia	1799101 
Afghanistan	31628 
Bangladesh	159078 
Bhutan	765 
India	1295292 
Iran (Islamic Republic of)	78144 
Maldives	357 
Nepal	28175 
Pakistan	185044 
Sri Lanka	20619 
South-Eastern Asia	626181 
Brunei Darussalam	417 
Cambodia	15328 
Indonesia	254455 
Lao People's Democratic Republic	6689 
Malaysia	29902 
Myanmar	53437 
Philippines	99139 
Singapore	5507 
Thailand	67726 
Timor-Leste	1157 
Viet Nam	92423 
Western Asia	252583 
Armenia	3006 
Azerbaijan	9630 
Bahrain	1362 
Cyprus	1154 
Georgia	4035 
Iraq	35273 
Israel	7939 
Jordan	7416 
Kuwait	3753 
Lebanon	5612 
Oman	4236 
Qatar	2172 
Saudi Arabia	30887 
State of Palestine	4542 
