COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Sudan	0 		0 	0 		47 	0 		0 		0 	0 			0 	0 		0 			0 		0 	49 		0 		0 			10 				0 	0 	0 			0 	62 	0 	0 	0 	91 		3 	0 	0 			1 		0 	0 				0 		0 	0 		0 	C 		0 		0 	0 	0 		0 		5 	0 		0 	0 	268 
Suriname	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 		2 	0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	0 					0 	0 				0 		0 	0 		0 			0 		0 	0 	0 		0 		0 	0 		0 	0 	2 
Swaziland	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 	1 		0 		0 			0 		0 			0 				0 	0 	0 			0 	3 	27 	0 	0 			0 	0 	0 	0 		26 		0 	0 		3 		0 		0 	0 		0 			0 	6 	0 	0 	0 		0 		15 		0 	0 	0 	81 
Sweden	0 	0 	3399 	5274 		7 	471 	4413 	1710 	14 	4 	44 	5270 	53 	62 	2375 	19 	42 	19 	39 	330 	116 	17057 	0 	188 	35395 	45481 	42371 	10 	62 	5580 	3 	85 		0 	20160 	1716 	44 	6179 	43489 	4923 	95 	537 	6 	0 	148 	4 	55 	76778 	28 	91 	2 	0 	0 	17723 	C 	33466 	0 	25 	0 	441 	979 	43 	70 	3961 	1190 	241 	92 	2555 		21110 	118 	1 		30908 	115419 	70 	0 	C 	552561 
Switzerland	1 	5 	7870 	3620 	79 	12 	131 	2974 	1911 	5 	673 	11 	15660 	15 	45 	1522 	17 	19 	4 	27 	20 	81 	4067 	119 	13 	1960 	22105 	34213 	51 	234 	3665 	67 	58 	32 	3 	21524 	115 	284 	6867 	23135 	2390 	243 	1295 	0 	93 	3 	124 	3 	39536 	39 	79 	28 	4 	0 	24965 	C 	23894 	4 	26 	24 	31 	357 	2 	69 	C 	169 	97 	353 	2374 	15199 		13 	1 		61504 	292025 	18 	814 	C 	618988 
Syrian Arab Republic	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	3 		0 		0 			0 				0 	0 	0 			0 	133 	0 	0 	0 	54 		3 	0 	0 					0 	0 				1 		0 	0 		0 			0 		0 	0 	0 		0 		0 	0 		0 	0 	194 
Taiwan Province of China	0 	0 	C 	116 			1 	187 	105 		1 	0 	4272 		23 	2401 	1 	0 		1 	0 	1 	761 	0 		342 	2299 	1849 			198 	0 	1 	15 	3 	6362 	2 		408 	2462 	138 	0 	712 	0 		0 	0 	0 	15556 	412 		85 	12 	0 	4445 	C 	3513 		0 	0 	0 	10 		0 	12933 	1 	9 	10 	C 	1190 	1472 	0 	0 		27328 	72146 		0 	C 	161785 
Tajikistan	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 				0 	0 	0 			0 		0 	0 	0 				0 	46 					0 	0 				0 		0 	0 		2 			0 		0 	0 	1 		0 		0 	0 		0 	0 	49 
Tanzania	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 	0 		0 		0 			0 			0 	0 	0 	0 			0 	8 	0 	0 	0 				0 	12 			2 		0 	0 		15 		0 		0 	0 		0 			0 	0 	0 	0 	5 		0 		21 	0 		0 	0 	64 
Thailand	0 		1407 	175 			0 	57 	97 		0 	0 	2909 		7 	1437 	18 	0 		5 	10 	0 	780 	0 		231 	562 	1053 		1 	383 	0 	1 	58 	13 	3043 	11 	1 	171 	2400 	100 	0 	493 	0 	2 	0 	0 	0 	12361 	490 		201 		0 	2696 	C 	734 		0 	42 	C 	0 		0 	7288 		5 	12 	C 	215 	499 		0 		6764 	23167 	0 	0 	C 	69900 
