COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
australia	0.78	1.75	1.62	1.00	1.00	0.60	0.34	1.40	1.00	1.05	1.00	0.35	0.45	0.26	1.00	0.48	0.30	0.58	0.68	0.24	1.62	1.00	0.36	0.30	0.60	1.00	3.00	1.05	0.26	1.00	0.55	0.33	0.25	5.25	0.47	1.00	0.34	0.36	0.75	0.41	0.34	1.50	0.84	0.88	0.55	0.34	1.00	0.24	1.31	1.00	1.00	0.30	1.50	0.91	0.26	0.33	1.00	0.51	0.45	0.88	1.50	1.91	1.00	0.31	0.64	1.62	0.60	0.42	1.00	0.84	0.78	0.55	0.75	0.40	0.26	0.58	0.84	0.40	1.00	0.29	0.27	0.43	0.62	0.21	0.44	0.47	1.00	0.40	0.28	0.70	0.23	0.62	0.66	1.62	0.46	0.38	0.41	0.81	0.81	1.31	0.37	0.70
austria	2.22	5.00	4.62	1.00	1.00	1.71	0.98	4.00	1.00	3.00	2.86	1.00	1.28	0.73	1.00	1.36	0.87	1.67	1.94	0.69	4.62	1.00	1.03	0.86	1.71	1.00	8.57	3.00	0.73	1.00	1.58	0.95	0.72	15.00	1.33	1.00	0.98	1.03	2.14	1.18	0.97	4.29	2.40	2.50	1.58	0.98	1.00	0.68	3.75	1.00	1.00	0.87	4.29	2.61	0.73	0.94	1.00	1.46	1.28	2.50	4.29	5.45	1.00	0.90	1.82	4.62	1.71	1.20	1.00	2.40	2.22	1.58	2.14	1.15	0.74	1.67	2.40	1.15	1.00	0.83	0.78	1.22	1.76	0.60	1.25	1.33	1.00	1.13	0.81	2.00	0.65	1.76	1.88	4.62	1.30	1.09	1.18	2.31	2.31	3.75	1.05	2.00
bangladesh	1.74	3.92	3.62	1.00	1.00	1.34	0.77	3.13	1.00	2.35	2.24	0.78	1.00	0.57	1.00	1.07	0.68	1.31	1.52	0.54	3.62	1.00	0.81	0.67	1.34	1.00	6.71	2.35	0.57	1.00	1.24	0.75	0.57	11.75	1.04	1.00	0.77	0.81	1.68	0.92	0.76	3.36	1.88	1.96	1.24	0.77	1.00	0.53	2.94	1.00	1.00	0.68	3.36	2.04	0.57	0.73	1.00	1.15	1.00	1.96	3.36	4.27	1.00	0.70	1.42	3.62	1.34	0.94	1.00	1.88	1.74	1.24	1.68	0.90	0.58	1.31	1.88	0.90	1.00	0.65	0.61	0.96	1.38	0.47	0.98	1.04	1.00	0.89	0.64	1.57	0.51	1.38	1.47	3.62	1.02	0.85	0.92	1.81	1.81	2.94	0.82	1.57
belgium	3.04	6.83	6.31	1.00	1.00	2.34	1.34	5.47	1.00	4.10	3.90	1.37	1.74	1.00	1.00	1.86	1.19	2.28	2.65	0.94	6.31	1.00	1.41	1.17	2.34	1.00	11.71	4.10	1.00	1.00	2.16	1.30	0.99	20.50	1.82	1.00	1.34	1.41	2.93	1.61	1.32	5.86	3.28	3.42	2.16	1.34	1.00	0.93	5.12	1.00	1.00	1.19	5.86	3.57	1.00	1.28	1.00	2.00	1.74	3.42	5.86	7.45	1.00	1.22	2.48	6.31	2.34	1.64	1.00	3.28	3.04	2.16	2.93	1.58	1.01	2.28	3.28	1.58	1.00	1.14	1.06	1.67	2.41	0.82	1.71	1.82	1.00	1.55	1.11	2.73	0.88	2.41	2.56	6.31	1.78	1.49	1.61	3.15	3.15	5.12	1.44	2.73
bhutan	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
brazil	1.63	3.67	3.38	1.00	1.00	1.26	0.72	2.93	1.00	2.20	2.10	0.73	0.94	0.54	1.00	1.00	0.64	1.22	1.42	0.51	3.38	1.00	0.76	0.63	1.26	1.00	6.29	2.20	0.54	1.00	1.16	0.70	0.53	11.00	0.98	1.00	0.72	0.76	1.57	0.86	0.71	3.14	1.76	1.83	1.16	0.72	1.00	0.50	2.75	1.00	1.00	0.64	3.14	1.91	0.54	0.69	1.00	1.07	0.94	1.83	3.14	4.00	1.00	0.66	1.33	3.38	1.26	0.88	1.00	1.76	1.63	1.16	1.57	0.85	0.54	1.22	1.76	0.85	1.00	0.61	0.57	0.90	1.29	0.44	0.92	0.98	1.00	0.83	0.59	1.47	0.47	1.29	1.38	3.38	0.96	0.80	0.86	1.69	1.69	2.75	0.77	1.47
bulgaria	2.56	5.75	5.31	1.00	1.00	1.97	1.13	4.60	1.00	3.45	3.29	1.15	1.47	0.84	1.00	1.57	1.00	1.92	2.23	0.79	5.31	1.00	1.19	0.99	1.97	1.00	9.86	3.45	0.84	1.00	1.82	1.10	0.83	17.25	1.53	1.00	1.13	1.19	2.46	1.35	1.11	4.93	2.76	2.88	1.82	1.13	1.00	0.78	4.31	1.00	1.00	1.00	4.93	3.00	0.84	1.08	1.00	1.68	1.47	2.88	4.93	6.27	1.00	1.03	2.09	5.31	1.97	1.38	1.00	2.76	2.56	1.82	2.46	1.33	0.85	1.92	2.76	1.33	1.00	0.96	0.90	1.41	2.03	0.69	1.44	1.53	1.00	1.30	0.93	2.30	0.74	2.03	2.16	5.31	1.50	1.25	1.35	2.65	2.65	4.31	1.21	2.30
canada	1.33	3.00	2.77	1.00	1.00	1.03	0.59	2.40	1.00	1.80	1.71	0.60	0.77	0.44	1.00	0.82	0.52	1.00	1.16	0.41	2.77	1.00	0.62	0.51	1.03	1.00	5.14	1.80	0.44	1.00	0.95	0.57	0.43	9.00	0.80	1.00	0.59	0.62	1.29	0.71	0.58	2.57	1.44	1.50	0.95	0.59	1.00	0.41	2.25	1.00	1.00	0.52	2.57	1.57	0.44	0.56	1.00	0.88	0.77	1.50	2.57	3.27	1.00	0.54	1.09	2.77	1.03	0.72	1.00	1.44	1.33	0.95	1.29	0.69	0.44	1.00	1.44	0.69	1.00	0.50	0.47	0.73	1.06	0.36	0.75	0.80	1.00	0.68	0.49	1.20	0.39	1.06	1.12	2.77	0.78	0.65	0.71	1.38	1.38	2.25	0.63	1.20
chile	1.15	2.58	2.38	1.00	1.00	0.89	0.51	2.07	1.00	1.55	1.48	0.52	0.66	0.38	1.00	0.70	0.45	0.86	1.00	0.36	2.38	1.00	0.53	0.44	0.89	1.00	4.43	1.55	0.38	1.00	0.82	0.49	0.37	7.75	0.69	1.00	0.51	0.53	1.11	0.61	0.50	2.21	1.24	1.29	0.82	0.51	1.00	0.35	1.94	1.00	1.00	0.45	2.21	1.35	0.38	0.48	1.00	0.76	0.66	1.29	2.21	2.82	1.00	0.46	0.94	2.38	0.89	0.62	1.00	1.24	1.15	0.82	1.11	0.60	0.38	0.86	1.24	0.60	1.00	0.43	0.40	0.63	0.91	0.31	0.65	0.69	1.00	0.58	0.42	1.03	0.33	0.91	0.97	2.38	0.67	0.56	0.61	1.19	1.19	1.94	0.54	1.03
china	3.22	7.25	6.69	1.00	1.00	2.49	1.43	5.80	1.00	4.35	4.14	1.45	1.85	1.06	1.00	1.98	1.26	2.42	2.81	1.00	6.69	1.00	1.50	1.24	2.49	1.00	12.43	4.35	1.06	1.00	2.29	1.38	1.05	21.75	1.93	1.00	1.43	1.50	3.11	1.71	1.40	6.21	3.48	3.62	2.29	1.43	1.00	0.99	5.44	1.00	1.00	1.26	6.21	3.78	1.06	1.36	1.00	2.12	1.85	3.62	6.21	7.91	1.00	1.30	2.64	6.69	2.49	1.74	1.00	3.48	3.22	2.29	3.11	1.67	1.07	2.42	3.48	1.67	1.00	1.21	1.13	1.78	2.56	0.87	1.81	1.93	1.00	1.64	1.18	2.90	0.94	2.56	2.72	6.69	1.89	1.58	1.71	3.35	3.35	5.44	1.53	2.90
colombia	0.48	1.08	1.00	1.00	1.00	0.37	0.21	0.87	1.00	0.65	0.62	0.22	0.28	0.16	1.00	0.30	0.19	0.36	0.42	0.15	1.00	1.00	0.22	0.19	0.37	1.00	1.86	0.65	0.16	1.00	0.34	0.21	0.16	3.25	0.29	1.00	0.21	0.22	0.46	0.25	0.21	0.93	0.52	0.54	0.34	0.21	1.00	0.15	0.81	1.00	1.00	0.19	0.93	0.57	0.16	0.20	1.00	0.32	0.28	0.54	0.93	1.18	1.00	0.19	0.39	1.00	0.37	0.26	1.00	0.52	0.48	0.34	0.46	0.25	0.16	0.36	0.52	0.25	1.00	0.18	0.17	0.27	0.38	0.13	0.27	0.29	1.00	0.25	0.18	0.43	0.14	0.38	0.41	1.00	0.28	0.24	0.25	0.50	0.50	0.81	0.23	0.43
costa-rica	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
croatia	2.15	4.83	4.46	1.00	1.00	1.66	0.95	3.87	1.00	2.90	2.76	0.97	1.23	0.71	1.00	1.32	0.84	1.61	1.87	0.67	4.46	1.00	1.00	0.83	1.66	1.00	8.29	2.90	0.71	1.00	1.53	0.92	0.70	14.50	1.29	1.00	0.95	1.00	2.07	1.14	0.94	4.14	2.32	2.42	1.53	0.95	1.00	0.66	3.62	1.00	1.00	0.84	4.14	2.52	0.71	0.91	1.00	1.41	1.23	2.42	4.14	5.27	1.00	0.87	1.76	4.46	1.66	1.16	1.00	2.32	2.15	1.53	2.07	1.12	0.72	1.61	2.32	1.12	1.00	0.81	0.75	1.18	1.71	0.58	1.21	1.29	1.00	1.09	0.78	1.93	0.62	1.71	1.81	4.46	1.26	1.05	1.14	2.23	2.23	3.62	1.02	1.93
czech-republic	2.59	5.83	5.38	1.00	1.00	2.00	1.15	4.67	1.00	3.50	3.33	1.17	1.49	0.85	1.00	1.59	1.01	1.94	2.26	0.80	5.38	1.00	1.21	1.00	2.00	1.00	10.00	3.50	0.85	1.00	1.84	1.11	0.84	17.50	1.56	1.00	1.15	1.21	2.50	1.37	1.13	5.00	2.80	2.92	1.84	1.15	1.00	0.80	4.38	1.00	1.00	1.01	5.00	3.04	0.85	1.09	1.00	1.71	1.49	2.92	5.00	6.36	1.00	1.04	2.12	5.38	2.00	1.40	1.00	2.80	2.59	1.84	2.50	1.35	0.86	1.94	2.80	1.35	1.00	0.97	0.91	1.43	2.06	0.70	1.46	1.56	1.00	1.32	0.95	2.33	0.75	2.06	2.19	5.38	1.52	1.27	1.37	2.69	2.69	4.38	1.23	2.33
denmark	1.30	2.92	2.69	1.00	1.00	1.00	0.57	2.33	1.00	1.75	1.67	0.58	0.74	0.43	1.00	0.80	0.51	0.97	1.13	0.40	2.69	1.00	0.60	0.50	1.00	1.00	5.00	1.75	0.43	1.00	0.92	0.56	0.42	8.75	0.78	1.00	0.57	0.60	1.25	0.69	0.56	2.50	1.40	1.46	0.92	0.57	1.00	0.40	2.19	1.00	1.00	0.51	2.50	1.52	0.43	0.55	1.00	0.85	0.74	1.46	2.50	3.18	1.00	0.52	1.06	2.69	1.00	0.70	1.00	1.40	1.30	0.92	1.25	0.67	0.43	0.97	1.40	0.67	1.00	0.49	0.45	0.71	1.03	0.35	0.73	0.78	1.00	0.66	0.47	1.17	0.38	1.03	1.09	2.69	0.76	0.64	0.69	1.35	1.35	2.19	0.61	1.17
ecuador	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
egypt	0.26	0.58	0.54	1.00	1.00	0.20	0.11	0.47	1.00	0.35	0.33	0.12	0.15	0.09	1.00	0.16	0.10	0.19	0.23	0.08	0.54	1.00	0.12	0.10	0.20	1.00	1.00	0.35	0.09	1.00	0.18	0.11	0.08	1.75	0.16	1.00	0.11	0.12	0.25	0.14	0.11	0.50	0.28	0.29	0.18	0.11	1.00	0.08	0.44	1.00	1.00	0.10	0.50	0.30	0.09	0.11	1.00	0.17	0.15	0.29	0.50	0.64	1.00	0.10	0.21	0.54	0.20	0.14	1.00	0.28	0.26	0.18	0.25	0.13	0.09	0.19	0.28	0.13	1.00	0.10	0.09	0.14	0.21	0.07	0.15	0.16	1.00	0.13	0.09	0.23	0.08	0.21	0.22	0.54	0.15	0.13	0.14	0.27	0.27	0.44	0.12	0.23
el-salvador	0.74	1.67	1.54	1.00	1.00	0.57	0.33	1.33	1.00	1.00	0.95	0.33	0.43	0.24	1.00	0.45	0.29	0.56	0.65	0.23	1.54	1.00	0.34	0.29	0.57	1.00	2.86	1.00	0.24	1.00	0.53	0.32	0.24	5.00	0.44	1.00	0.33	0.34	0.71	0.39	0.32	1.43	0.80	0.83	0.53	0.33	1.00	0.23	1.25	1.00	1.00	0.29	1.43	0.87	0.24	0.31	1.00	0.49	0.43	0.83	1.43	1.82	1.00	0.30	0.61	1.54	0.57	0.40	1.00	0.80	0.74	0.53	0.71	0.38	0.25	0.56	0.80	0.38	1.00	0.28	0.26	0.41	0.59	0.20	0.42	0.44	1.00	0.38	0.27	0.67	0.22	0.59	0.62	1.54	0.43	0.36	0.39	0.77	0.77	1.25	0.35	0.67
estonia	3.04	6.83	6.31	1.00	1.00	2.34	1.34	5.47	1.00	4.10	3.90	1.37	1.74	1.00	1.00	1.86	1.19	2.28	2.65	0.94	6.31	1.00	1.41	1.17	2.34	1.00	11.71	4.10	1.00	1.00	2.16	1.30	0.99	20.50	1.82	1.00	1.34	1.41	2.93	1.61	1.32	5.86	3.28	3.42	2.16	1.34	1.00	0.93	5.12	1.00	1.00	1.19	5.86	3.57	1.00	1.28	1.00	2.00	1.74	3.42	5.86	7.45	1.00	1.22	2.48	6.31	2.34	1.64	1.00	3.28	3.04	2.16	2.93	1.58	1.01	2.28	3.28	1.58	1.00	1.14	1.06	1.67	2.41	0.82	1.71	1.82	1.00	1.55	1.11	2.73	0.88	2.41	2.56	6.31	1.78	1.49	1.61	3.15	3.15	5.12	1.44	2.73
ethiopia	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
finland	1.41	3.17	2.92	1.00	1.00	1.09	0.62	2.53	1.00	1.90	1.81	0.63	0.81	0.46	1.00	0.86	0.55	1.06	1.23	0.44	2.92	1.00	0.66	0.54	1.09	1.00	5.43	1.90	0.46	1.00	1.00	0.60	0.46	9.50	0.84	1.00	0.62	0.66	1.36	0.75	0.61	2.71	1.52	1.58	1.00	0.62	1.00	0.43	2.38	1.00	1.00	0.55	2.71	1.65	0.46	0.59	1.00	0.93	0.81	1.58	2.71	3.45	1.00	0.57	1.15	2.92	1.09	0.76	1.00	1.52	1.41	1.00	1.36	0.73	0.47	1.06	1.52	0.73	1.00	0.53	0.49	0.78	1.12	0.38	0.79	0.84	1.00	0.72	0.51	1.27	0.41	1.12	1.19	2.92	0.83	0.69	0.75	1.46	1.46	2.38	0.67	1.27
