COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
Burkina_Faso	1.00	2.25	2.08	1.00	1.00	0.77	0.44	1.80	1.00	1.35	1.29	0.45	0.57	0.33	1.00	0.61	0.39	0.75	0.87	0.31	2.08	1.00	0.47	0.39	0.77	1.00	3.86	1.35	0.33	1.00	0.71	0.43	0.33	6.75	0.60	1.00	0.44	0.47	0.96	0.53	0.44	1.93	1.08	1.12	0.71	0.44	1.00	0.31	1.69	1.00	1.00	0.39	1.93	1.17	0.33	0.42	1.00	0.66	0.57	1.12	1.93	2.45	1.00	0.40	0.82	2.08	0.77	0.54	1.00	1.08	1.00	0.71	0.96	0.52	0.33	0.75	1.08	0.52	1.00	0.38	0.35	0.55	0.79	0.27	0.56	0.60	1.00	0.51	0.36	0.90	0.29	0.79	0.84	2.08	0.59	0.49	0.53	1.04	1.04	1.69	0.47	0.90
Cape_Verde	0.44	1.00	0.92	1.00	1.00	0.34	0.20	0.80	1.00	0.60	0.57	0.20	0.26	0.15	1.00	0.27	0.17	0.33	0.39	0.14	0.92	1.00	0.21	0.17	0.34	1.00	1.71	0.60	0.15	1.00	0.32	0.19	0.14	3.00	0.27	1.00	0.20	0.21	0.43	0.24	0.19	0.86	0.48	0.50	0.32	0.20	1.00	0.14	0.75	1.00	1.00	0.17	0.86	0.52	0.15	0.19	1.00	0.29	0.26	0.50	0.86	1.09	1.00	0.18	0.36	0.92	0.34	0.24	1.00	0.48	0.44	0.32	0.43	0.23	0.15	0.33	0.48	0.23	1.00	0.17	0.16	0.24	0.35	0.12	0.25	0.27	1.00	0.23	0.16	0.40	0.13	0.35	0.38	0.92	0.26	0.22	0.24	0.46	0.46	0.75	0.21	0.40
Dominican_Republic	0.48	1.08	1.00	1.00	1.00	0.37	0.21	0.87	1.00	0.65	0.62	0.22	0.28	0.16	1.00	0.30	0.19	0.36	0.42	0.15	1.00	1.00	0.22	0.19	0.37	1.00	1.86	0.65	0.16	1.00	0.34	0.21	0.16	3.25	0.29	1.00	0.21	0.22	0.46	0.25	0.21	0.93	0.52	0.54	0.34	0.21	1.00	0.15	0.81	1.00	1.00	0.19	0.93	0.57	0.16	0.20	1.00	0.32	0.28	0.54	0.93	1.18	1.00	0.19	0.39	1.00	0.37	0.26	1.00	0.52	0.48	0.34	0.46	0.25	0.16	0.36	0.52	0.25	1.00	0.18	0.17	0.27	0.38	0.13	0.27	0.29	1.00	0.25	0.18	0.43	0.14	0.38	0.41	1.00	0.28	0.24	0.25	0.50	0.50	0.81	0.23	0.43
Fiji	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Honduras	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Namibia	1.30	2.92	2.69	1.00	1.00	1.00	0.57	2.33	1.00	1.75	1.67	0.58	0.74	0.43	1.00	0.80	0.51	0.97	1.13	0.40	2.69	1.00	0.60	0.50	1.00	1.00	5.00	1.75	0.43	1.00	0.92	0.56	0.42	8.75	0.78	1.00	0.57	0.60	1.25	0.69	0.56	2.50	1.40	1.46	0.92	0.57	1.00	0.40	2.19	1.00	1.00	0.51	2.50	1.52	0.43	0.55	1.00	0.85	0.74	1.46	2.50	3.18	1.00	0.52	1.06	2.69	1.00	0.70	1.00	1.40	1.30	0.92	1.25	0.67	0.43	0.97	1.40	0.67	1.00	0.49	0.45	0.71	1.03	0.35	0.73	0.78	1.00	0.66	0.47	1.17	0.38	1.03	1.09	2.69	0.76	0.64	0.69	1.35	1.35	2.19	0.61	1.17
albania	2.26	5.08	4.69	1.00	1.00	1.74	1.00	4.07	1.00	3.05	2.90	1.02	1.30	0.74	1.00	1.39	0.88	1.69	1.97	0.70	4.69	1.00	1.05	0.87	1.74	1.00	8.71	3.05	0.74	1.00	1.61	0.97	0.73	15.25	1.36	1.00	1.00	1.05	2.18	1.20	0.98	4.36	2.44	2.54	1.61	1.00	1.00	0.69	3.81	1.00	1.00	0.88	4.36	2.65	0.74	0.95	1.00	1.49	1.30	2.54	4.36	5.55	1.00	0.91	1.85	4.69	1.74	1.22	1.00	2.44	2.26	1.61	2.18	1.17	0.75	1.69	2.44	1.17	1.00	0.85	0.79	1.24	1.79	0.61	1.27	1.36	1.00	1.15	0.82	2.03	0.66	1.79	1.91	4.69	1.33	1.11	1.20	2.35	2.35	3.81	1.07	2.03
angola	0.56	1.25	1.15	1.00	1.00	0.43	0.25	1.00	1.00	0.75	0.71	0.25	0.32	0.18	1.00	0.34	0.22	0.42	0.48	0.17	1.15	1.00	0.26	0.21	0.43	1.00	2.14	0.75	0.18	1.00	0.39	0.24	0.18	3.75	0.33	1.00	0.25	0.26	0.54	0.29	0.24	1.07	0.60	0.62	0.39	0.25	1.00	0.17	0.94	1.00	1.00	0.22	1.07	0.65	0.18	0.23	1.00	0.37	0.32	0.62	1.07	1.36	1.00	0.22	0.45	1.15	0.43	0.30	1.00	0.60	0.56	0.39	0.54	0.29	0.19	0.42	0.60	0.29	1.00	0.21	0.19	0.31	0.44	0.15	0.31	0.33	1.00	0.28	0.20	0.50	0.16	0.44	0.47	1.15	0.33	0.27	0.29	0.58	0.58	0.94	0.26	0.50
arab-emirates	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
argentina	0.74	1.67	1.54	1.00	1.00	0.57	0.33	1.33	1.00	1.00	0.95	0.33	0.43	0.24	1.00	0.45	0.29	0.56	0.65	0.23	1.54	1.00	0.34	0.29	0.57	1.00	2.86	1.00	0.24	1.00	0.53	0.32	0.24	5.00	0.44	1.00	0.33	0.34	0.71	0.39	0.32	1.43	0.80	0.83	0.53	0.33	1.00	0.23	1.25	1.00	1.00	0.29	1.43	0.87	0.24	0.31	1.00	0.49	0.43	0.83	1.43	1.82	1.00	0.30	0.61	1.54	0.57	0.40	1.00	0.80	0.74	0.53	0.71	0.38	0.25	0.56	0.80	0.38	1.00	0.28	0.26	0.41	0.59	0.20	0.42	0.44	1.00	0.38	0.27	0.67	0.22	0.59	0.62	1.54	0.43	0.36	0.39	0.77	0.77	1.25	0.35	0.67
