COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
Burkina_Faso	1.00	0.22	0.33	1.00	1.00	1.00	1.20	0.22	1.00	0.29	0.25	0.29	0.90	0.32	1.00	0.31	1.12	0.26	0.26	0.75	0.22	1.00	0.55	0.62	0.26	1.00	4.50	0.20	1.12	1.00	0.32	0.38	0.45	0.25	0.36	1.00	1.06	0.58	0.27	0.69	0.47	0.45	1.06	0.28	1.00	0.60	1.00	0.43	0.42	1.00	1.00	1.38	0.72	0.53	1.12	0.32	1.00	0.32	0.27	0.19	0.72	0.23	1.00	0.26	0.24	0.21	0.33	1.00	1.00	0.39	0.43	0.62	0.55	0.90	0.90	0.35	1.00	0.64	1.00	0.39	0.64	0.38	0.29	0.62	0.41	1.00	1.00	0.23	0.27	1.00	0.37	0.47	0.40	0.23	0.37	1.00	0.26	0.26	0.34	0.18	0.51	0.43
Cape_Verde	4.61	1.00	1.54	1.00	1.00	1.00	5.53	1.00	1.00	1.34	1.17	1.32	4.15	1.46	1.00	1.41	5.19	1.22	1.22	3.46	1.00	1.00	2.52	2.86	1.19	1.00	20.75	0.93	5.19	1.00	1.46	1.73	2.08	1.15	1.66	1.00	4.88	2.68	1.24	3.19	2.18	2.08	4.88	1.28	1.00	2.77	1.00	1.98	1.93	1.00	1.00	6.38	3.32	2.44	5.19	1.48	1.00	1.46	1.26	0.86	3.32	1.04	1.00	1.22	1.11	0.99	1.51	1.00	1.00	1.80	1.98	2.86	2.52	4.15	4.15	1.60	1.00	2.96	1.00	1.80	2.96	1.73	1.32	2.86	1.89	1.00	1.00	1.06	1.26	1.00	1.69	2.18	1.84	1.04	1.69	4.61	1.20	1.22	1.57	0.83	2.37	1.98
Dominican_Republic	3.00	0.65	1.00	1.00	1.00	1.00	3.60	0.65	1.00	0.87	0.76	0.86	2.70	0.95	1.00	0.92	3.38	0.79	0.79	2.25	0.65	1.00	1.64	1.86	0.77	1.00	13.50	0.61	3.38	1.00	0.95	1.12	1.35	0.75	1.08	1.00	3.18	1.74	0.81	2.08	1.42	1.35	3.18	0.83	1.00	1.80	1.00	1.29	1.26	1.00	1.00	4.15	2.16	1.59	3.38	0.96	1.00	0.95	0.82	0.56	2.16	0.68	1.00	0.79	0.72	0.64	0.98	1.00	1.00	1.17	1.29	1.86	1.64	2.70	2.70	1.04	1.00	1.93	1.00	1.17	1.93	1.12	0.86	1.86	1.23	1.00	1.00	0.69	0.82	1.00	1.10	1.42	1.20	0.68	1.10	3.00	0.78	0.79	1.02	0.54	1.54	1.29
Fiji	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Honduras	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
Namibia	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
albania	0.83	0.18	0.28	1.00	1.00	1.00	1.00	0.18	1.00	0.24	0.21	0.24	0.75	0.26	1.00	0.25	0.94	0.22	0.22	0.62	0.18	1.00	0.45	0.52	0.21	1.00	3.75	0.17	0.94	1.00	0.26	0.31	0.38	0.21	0.30	1.00	0.88	0.48	0.22	0.58	0.39	0.38	0.88	0.23	1.00	0.50	1.00	0.36	0.35	1.00	1.00	1.15	0.60	0.44	0.94	0.27	1.00	0.26	0.23	0.15	0.60	0.19	1.00	0.22	0.20	0.18	0.27	1.00	1.00	0.33	0.36	0.52	0.45	0.75	0.75	0.29	1.00	0.54	1.00	0.33	0.54	0.31	0.24	0.52	0.34	1.00	1.00	0.19	0.23	1.00	0.31	0.39	0.33	0.19	0.31	0.83	0.22	0.22	0.28	0.15	0.43	0.36
angola	4.61	1.00	1.54	1.00	1.00	1.00	5.53	1.00	1.00	1.34	1.17	1.32	4.15	1.46	1.00	1.41	5.19	1.22	1.22	3.46	1.00	1.00	2.52	2.86	1.19	1.00	20.75	0.93	5.19	1.00	1.46	1.73	2.08	1.15	1.66	1.00	4.88	2.68	1.24	3.19	2.18	2.08	4.88	1.28	1.00	2.77	1.00	1.98	1.93	1.00	1.00	6.38	3.32	2.44	5.19	1.48	1.00	1.46	1.26	0.86	3.32	1.04	1.00	1.22	1.11	0.99	1.51	1.00	1.00	1.80	1.98	2.86	2.52	4.15	4.15	1.60	1.00	2.96	1.00	1.80	2.96	1.73	1.32	2.86	1.89	1.00	1.00	1.06	1.26	1.00	1.69	2.18	1.84	1.04	1.69	4.61	1.20	1.22	1.57	0.83	2.37	1.98
arab-emirates	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
argentina	3.44	0.75	1.15	1.00	1.00	1.00	4.13	0.75	1.00	1.00	0.87	0.98	3.10	1.09	1.00	1.05	3.88	0.91	0.91	2.58	0.75	1.00	1.88	2.14	0.89	1.00	15.50	0.70	3.88	1.00	1.09	1.29	1.55	0.86	1.24	1.00	3.65	2.00	0.93	2.38	1.63	1.55	3.65	0.95	1.00	2.07	1.00	1.48	1.44	1.00	1.00	4.77	2.48	1.82	3.88	1.11	1.00	1.09	0.94	0.64	2.48	0.78	1.00	0.91	0.83	0.74	1.13	1.00	1.00	1.35	1.48	2.14	1.88	3.10	3.10	1.19	1.00	2.21	1.00	1.35	2.21	1.29	0.98	2.14	1.41	1.00	1.00	0.79	0.94	1.00	1.27	1.63	1.38	0.78	1.27	3.44	0.90	0.91	1.17	0.62	1.77	1.48
