COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
Burkina_Faso	1.00	1.38	1.22	1.15	1.10	1.22	0.79	0.92	0.69	0.64	1.08	0.79	0.92	0.59	1.96	0.72	0.65	1.15	0.64	1.83	0.69	0.64	0.69	0.74	2.39	0.82	0.69	0.59	0.92	1.00	0.93	0.64	0.85	0.85	0.55	0.56	1.90	0.67	1.10	1.38	1.15	0.93	0.65	1.57	0.68	0.73	4.23	0.60	0.85	1.10	0.69	0.87	1.10	0.81	0.85	0.79	1.10	1.53	0.57	0.67	0.81	1.25	1.38	1.04	1.12	1.00	1.10	0.79	0.64	0.63	1.25	0.59	0.56	0.61	0.58	0.69	1.00	0.60	1.10	6.88	1.08	0.62	1.12	0.65	0.64	1.22	0.60	1.90	0.95	0.92	0.80	1.10	0.86	1.00	0.65	0.58	1.57	1.20	0.56	0.72	1.83	1.10
Cape_Verde	0.73	1.00	0.89	0.83	0.80	0.89	0.57	0.67	0.50	0.47	0.78	0.57	0.67	0.43	1.43	0.53	0.47	0.83	0.47	1.33	0.50	0.47	0.50	0.54	1.74	0.60	0.50	0.43	0.67	0.73	0.68	0.47	0.62	0.62	0.40	0.40	1.38	0.49	0.80	1.00	0.83	0.68	0.47	1.14	0.49	0.53	3.08	0.43	0.62	0.80	0.50	0.63	0.80	0.59	0.62	0.57	0.80	1.11	0.42	0.49	0.59	0.91	1.00	0.75	0.82	0.73	0.80	0.57	0.47	0.46	0.91	0.43	0.40	0.44	0.42	0.50	0.73	0.43	0.80	5.00	0.78	0.45	0.82	0.47	0.47	0.89	0.43	1.38	0.69	0.67	0.58	0.80	0.62	0.73	0.47	0.42	1.14	0.87	0.40	0.53	1.33	0.80
Dominican_Republic	0.82	1.12	1.00	0.94	0.90	1.00	0.64	0.75	0.56	0.52	0.88	0.64	0.75	0.48	1.61	0.59	0.53	0.94	0.52	1.50	0.56	0.52	0.56	0.61	1.96	0.67	0.56	0.48	0.75	0.82	0.76	0.52	0.69	0.69	0.45	0.45	1.55	0.55	0.90	1.12	0.94	0.76	0.53	1.29	0.56	0.60	3.46	0.49	0.69	0.90	0.56	0.71	0.90	0.66	0.69	0.64	0.90	1.25	0.47	0.55	0.66	1.02	1.12	0.85	0.92	0.82	0.90	0.64	0.52	0.52	1.02	0.48	0.45	0.50	0.47	0.56	0.82	0.49	0.90	5.62	0.88	0.51	0.92	0.53	0.52	1.00	0.49	1.55	0.78	0.75	0.65	0.90	0.70	0.82	0.53	0.47	1.29	0.98	0.45	0.59	1.50	0.90
Fiji	0.87	1.20	1.07	1.00	0.96	1.07	0.69	0.80	0.60	0.56	0.94	0.69	0.80	0.51	1.71	0.63	0.56	1.00	0.56	1.60	0.60	0.56	0.60	0.65	2.09	0.72	0.60	0.51	0.80	0.87	0.81	0.56	0.74	0.74	0.48	0.48	1.66	0.59	0.96	1.20	1.00	0.81	0.56	1.37	0.59	0.64	3.69	0.52	0.74	0.96	0.60	0.76	0.96	0.71	0.74	0.69	0.96	1.33	0.50	0.59	0.71	1.09	1.20	0.91	0.98	0.87	0.96	0.69	0.56	0.55	1.09	0.52	0.48	0.53	0.51	0.60	0.87	0.52	0.96	6.00	0.94	0.55	0.98	0.56	0.56	1.07	0.52	1.66	0.83	0.80	0.70	0.96	0.75	0.87	0.56	0.51	1.37	1.04	0.48	0.63	1.60	0.96
Honduras	0.91	1.25	1.11	1.04	1.00	1.11	0.71	0.83	0.62	0.58	0.98	0.71	0.83	0.53	1.79	0.66	0.59	1.04	0.58	1.67	0.62	0.58	0.62	0.68	2.17	0.75	0.62	0.53	0.83	0.91	0.85	0.58	0.77	0.77	0.50	0.51	1.72	0.61	1.00	1.25	1.04	0.85	0.59	1.43	0.62	0.67	3.85	0.54	0.77	1.00	0.62	0.79	1.00	0.74	0.77	0.71	1.00	1.39	0.52	0.61	0.74	1.14	1.25	0.94	1.02	0.91	1.00	0.71	0.58	0.57	1.14	0.54	0.51	0.56	0.53	0.62	0.91	0.54	1.00	6.25	0.98	0.57	1.02	0.59	0.58	1.11	0.54	1.72	0.86	0.83	0.72	1.00	0.78	0.91	0.59	0.53	1.43	1.09	0.51	0.66	1.67	1.00
Namibia	0.82	1.12	1.00	0.94	0.90	1.00	0.64	0.75	0.56	0.52	0.88	0.64	0.75	0.48	1.61	0.59	0.53	0.94	0.52	1.50	0.56	0.52	0.56	0.61	1.96	0.67	0.56	0.48	0.75	0.82	0.76	0.52	0.69	0.69	0.45	0.45	1.55	0.55	0.90	1.12	0.94	0.76	0.53	1.29	0.56	0.60	3.46	0.49	0.69	0.90	0.56	0.71	0.90	0.66	0.69	0.64	0.90	1.25	0.47	0.55	0.66	1.02	1.12	0.85	0.92	0.82	0.90	0.64	0.52	0.52	1.02	0.48	0.45	0.50	0.47	0.56	0.82	0.49	0.90	5.62	0.88	0.51	0.92	0.53	0.52	1.00	0.49	1.55	0.78	0.75	0.65	0.90	0.70	0.82	0.53	0.47	1.29	0.98	0.45	0.59	1.50	0.90
albania	1.27	1.75	1.56	1.46	1.40	1.56	1.00	1.17	0.88	0.81	1.37	1.00	1.17	0.74	2.50	0.92	0.82	1.46	0.81	2.33	0.88	0.81	0.88	0.95	3.04	1.04	0.88	0.74	1.17	1.27	1.19	0.81	1.08	1.08	0.70	0.71	2.41	0.85	1.40	1.75	1.46	1.19	0.82	2.00	0.86	0.93	5.38	0.76	1.08	1.40	0.88	1.11	1.40	1.03	1.08	1.00	1.40	1.94	0.73	0.85	1.03	1.59	1.75	1.32	1.43	1.27	1.40	1.00	0.81	0.80	1.59	0.75	0.71	0.78	0.74	0.88	1.27	0.76	1.40	8.75	1.37	0.80	1.43	0.82	0.81	1.56	0.76	2.41	1.21	1.17	1.01	1.40	1.09	1.27	0.82	0.74	2.00	1.52	0.71	0.92	2.33	1.40
angola	1.09	1.50	1.33	1.25	1.20	1.33	0.86	1.00	0.75	0.70	1.18	0.86	1.00	0.64	2.14	0.79	0.71	1.25	0.70	2.00	0.75	0.70	0.75	0.81	2.61	0.90	0.75	0.64	1.00	1.09	1.02	0.70	0.92	0.92	0.60	0.61	2.07	0.73	1.20	1.50	1.25	1.02	0.71	1.71	0.74	0.80	4.62	0.65	0.92	1.20	0.75	0.95	1.20	0.88	0.92	0.86	1.20	1.67	0.62	0.73	0.88	1.36	1.50	1.13	1.22	1.09	1.20	0.86	0.70	0.69	1.36	0.65	0.61	0.67	0.63	0.75	1.09	0.65	1.20	7.50	1.18	0.68	1.22	0.71	0.70	1.33	0.65	2.07	1.03	1.00	0.87	1.20	0.94	1.09	0.71	0.63	1.71	1.30	0.61	0.79	2.00	1.20
arab-emirates	1.45	2.00	1.78	1.67	1.60	1.78	1.14	1.33	1.00	0.93	1.57	1.14	1.33	0.85	2.86	1.05	0.94	1.67	0.93	2.67	1.00	0.93	1.00	1.08	3.48	1.19	1.00	0.85	1.33	1.45	1.36	0.93	1.23	1.23	0.80	0.81	2.76	0.98	1.60	2.00	1.67	1.36	0.94	2.29	0.99	1.07	6.15	0.87	1.23	1.60	1.00	1.27	1.60	1.18	1.23	1.14	1.60	2.22	0.83	0.98	1.18	1.82	2.00	1.51	1.63	1.45	1.60	1.14	0.93	0.92	1.82	0.86	0.81	0.89	0.84	1.00	1.45	0.87	1.60	10.00	1.57	0.91	1.63	0.94	0.93	1.78	0.87	2.76	1.38	1.33	1.16	1.60	1.25	1.45	0.94	0.84	2.29	1.74	0.81	1.05	2.67	1.60
argentina	1.56	2.15	1.91	1.79	1.72	1.91	1.23	1.43	1.07	1.00	1.69	1.23	1.43	0.91	3.07	1.13	1.01	1.79	1.00	2.87	1.07	1.00	1.07	1.16	3.74	1.28	1.07	0.91	1.43	1.56	1.46	1.00	1.32	1.32	0.86	0.87	2.97	1.05	1.72	2.15	1.79	1.46	1.01	2.46	1.06	1.15	6.62	0.93	1.32	1.72	1.07	1.37	1.72	1.26	1.32	1.23	1.72	2.39	0.90	1.05	1.26	1.95	2.15	1.62	1.76	1.56	1.72	1.23	1.00	0.99	1.95	0.92	0.87	0.96	0.91	1.07	1.56	0.93	1.72	10.75	1.69	0.98	1.76	1.01	1.00	1.91	0.93	2.97	1.48	1.43	1.25	1.72	1.34	1.56	1.01	0.91	2.46	1.87	0.87	1.13	2.87	1.72
