COUNTRY	Burkina_Faso	Cape_Verde	Dominican_Republic	Fiji	Honduras	Namibia	albania	angola	arab-emirates	argentina	australia	austria	bangladesh	belgium	bhutan	brazil	bulgaria	canada	chile	china	colombia	costa-rica	croatia	czech-republic	denmark	ecuador	egypt	el-salvador	estonia	ethiopia	finland	france	germany	ghana	greece	guatemala	hong-kong	hungary	iceland	india	indonesia	iran	iraq	ireland	israel	italy	jamaica	japan	jordan	kenya	kuwait	latvia	lebanon	libya	lithuania	luxemburg	malawi	malaysia	malta	mexico	morocco	mozambique	nepal	netherlands	new-zealand	nigeria	norway	pakistan	panama	peru	philippines	poland	portugal	romania	russia	saudi-arabia	senegal	serbia	sierra-leone	singapore	slovakia	slovenia	south-africa	south-korea	spain	sri_lanka	surinam	sweden	switzerland	syria	taiwan	tanzania	thailand	trinidad	turkey	ukraine	united-kingdom	united-states	uruguay	venezuela	vietnam	zambia
australia	0.93	1.27	1.13	1.06	1.02	1.13	0.73	0.85	0.64	0.59	1.00	0.73	0.85	0.54	1.82	0.67	0.60	1.06	0.59	1.70	0.64	0.59	0.64	0.69	2.22	0.76	0.64	0.54	0.85	0.93	0.86	0.59	0.78	0.78	0.51	0.52	1.76	0.62	1.02	1.27	1.06	0.86	0.60	1.46	0.63	0.68	3.92	0.55	0.78	1.02	0.64	0.81	1.02	0.75	0.78	0.73	1.02	1.42	0.53	0.62	0.75	1.16	1.27	0.96	1.04	0.93	1.02	0.73	0.59	0.59	1.16	0.55	0.52	0.57	0.54	0.64	0.93	0.55	1.02	6.38	1.00	0.58	1.04	0.60	0.59	1.13	0.55	1.76	0.88	0.85	0.74	1.02	0.80	0.93	0.60	0.54	1.46	1.11	0.52	0.67	1.70	1.02
austria	1.27	1.75	1.56	1.46	1.40	1.56	1.00	1.17	0.88	0.81	1.37	1.00	1.17	0.74	2.50	0.92	0.82	1.46	0.81	2.33	0.88	0.81	0.88	0.95	3.04	1.04	0.88	0.74	1.17	1.27	1.19	0.81	1.08	1.08	0.70	0.71	2.41	0.85	1.40	1.75	1.46	1.19	0.82	2.00	0.86	0.93	5.38	0.76	1.08	1.40	0.88	1.11	1.40	1.03	1.08	1.00	1.40	1.94	0.73	0.85	1.03	1.59	1.75	1.32	1.43	1.27	1.40	1.00	0.81	0.80	1.59	0.75	0.71	0.78	0.74	0.88	1.27	0.76	1.40	8.75	1.37	0.80	1.43	0.82	0.81	1.56	0.76	2.41	1.21	1.17	1.01	1.40	1.09	1.27	0.82	0.74	2.00	1.52	0.71	0.92	2.33	1.40
bangladesh	1.09	1.50	1.33	1.25	1.20	1.33	0.86	1.00	0.75	0.70	1.18	0.86	1.00	0.64	2.14	0.79	0.71	1.25	0.70	2.00	0.75	0.70	0.75	0.81	2.61	0.90	0.75	0.64	1.00	1.09	1.02	0.70	0.92	0.92	0.60	0.61	2.07	0.73	1.20	1.50	1.25	1.02	0.71	1.71	0.74	0.80	4.62	0.65	0.92	1.20	0.75	0.95	1.20	0.88	0.92	0.86	1.20	1.67	0.62	0.73	0.88	1.36	1.50	1.13	1.22	1.09	1.20	0.86	0.70	0.69	1.36	0.65	0.61	0.67	0.63	0.75	1.09	0.65	1.20	7.50	1.18	0.68	1.22	0.71	0.70	1.33	0.65	2.07	1.03	1.00	0.87	1.20	0.94	1.09	0.71	0.63	1.71	1.30	0.61	0.79	2.00	1.20
belgium	1.71	2.35	2.09	1.96	1.88	2.09	1.34	1.57	1.18	1.09	1.84	1.34	1.57	1.00	3.36	1.24	1.11	1.96	1.09	3.13	1.18	1.09	1.18	1.27	4.09	1.40	1.18	1.00	1.57	1.71	1.59	1.09	1.45	1.45	0.94	0.95	3.24	1.15	1.88	2.35	1.96	1.59	1.11	2.69	1.16	1.25	7.23	1.02	1.45	1.88	1.18	1.49	1.88	1.38	1.45	1.34	1.88	2.61	0.98	1.15	1.38	2.14	2.35	1.77	1.92	1.71	1.88	1.34	1.09	1.08	2.14	1.01	0.95	1.04	0.99	1.18	1.71	1.02	1.88	11.75	1.84	1.07	1.92	1.11	1.09	2.09	1.02	3.24	1.62	1.57	1.36	1.88	1.47	1.71	1.11	0.99	2.69	2.04	0.95	1.24	3.13	1.88
bhutan	0.51	0.70	0.62	0.58	0.56	0.62	0.40	0.47	0.35	0.33	0.55	0.40	0.47	0.30	1.00	0.37	0.33	0.58	0.33	0.93	0.35	0.33	0.35	0.38	1.22	0.42	0.35	0.30	0.47	0.51	0.47	0.33	0.43	0.43	0.28	0.28	0.97	0.34	0.56	0.70	0.58	0.47	0.33	0.80	0.35	0.37	2.15	0.30	0.43	0.56	0.35	0.44	0.56	0.41	0.43	0.40	0.56	0.78	0.29	0.34	0.41	0.64	0.70	0.53	0.57	0.51	0.56	0.40	0.33	0.32	0.64	0.30	0.28	0.31	0.29	0.35	0.51	0.30	0.56	3.50	0.55	0.32	0.57	0.33	0.33	0.62	0.30	0.97	0.48	0.47	0.41	0.56	0.44	0.51	0.33	0.29	0.80	0.61	0.28	0.37	0.93	0.56
brazil	1.38	1.90	1.69	1.58	1.52	1.69	1.09	1.27	0.95	0.88	1.49	1.09	1.27	0.81	2.71	1.00	0.89	1.58	0.88	2.53	0.95	0.88	0.95	1.03	3.30	1.13	0.95	0.81	1.27	1.38	1.29	0.88	1.17	1.17	0.76	0.77	2.62	0.93	1.52	1.90	1.58	1.29	0.89	2.17	0.94	1.01	5.85	0.83	1.17	1.52	0.95	1.21	1.52	1.12	1.17	1.09	1.52	2.11	0.79	0.93	1.12	1.73	1.90	1.43	1.55	1.38	1.52	1.09	0.88	0.87	1.73	0.82	0.77	0.84	0.80	0.95	1.38	0.83	1.52	9.50	1.49	0.86	1.55	0.89	0.88	1.69	0.83	2.62	1.31	1.27	1.10	1.52	1.19	1.38	0.89	0.80	2.17	1.65	0.77	1.00	2.53	1.52
bulgaria	1.55	2.12	1.89	1.77	1.70	1.89	1.21	1.42	1.06	0.99	1.67	1.21	1.42	0.90	3.04	1.12	1.00	1.77	0.99	2.83	1.06	0.99	1.06	1.15	3.70	1.27	1.06	0.90	1.42	1.55	1.44	0.99	1.31	1.31	0.85	0.86	2.93	1.04	1.70	2.12	1.77	1.44	1.00	2.43	1.05	1.13	6.54	0.92	1.31	1.70	1.06	1.35	1.70	1.25	1.31	1.21	1.70	2.36	0.89	1.04	1.25	1.93	2.12	1.60	1.73	1.55	1.70	1.21	0.99	0.98	1.93	0.91	0.86	0.94	0.89	1.06	1.55	0.92	1.70	10.62	1.67	0.97	1.73	1.00	0.99	1.89	0.92	2.93	1.47	1.42	1.23	1.70	1.33	1.55	1.00	0.89	2.43	1.85	0.86	1.12	2.83	1.70
canada	0.87	1.20	1.07	1.00	0.96	1.07	0.69	0.80	0.60	0.56	0.94	0.69	0.80	0.51	1.71	0.63	0.56	1.00	0.56	1.60	0.60	0.56	0.60	0.65	2.09	0.72	0.60	0.51	0.80	0.87	0.81	0.56	0.74	0.74	0.48	0.48	1.66	0.59	0.96	1.20	1.00	0.81	0.56	1.37	0.59	0.64	3.69	0.52	0.74	0.96	0.60	0.76	0.96	0.71	0.74	0.69	0.96	1.33	0.50	0.59	0.71	1.09	1.20	0.91	0.98	0.87	0.96	0.69	0.56	0.55	1.09	0.52	0.48	0.53	0.51	0.60	0.87	0.52	0.96	6.00	0.94	0.55	0.98	0.56	0.56	1.07	0.52	1.66	0.83	0.80	0.70	0.96	0.75	0.87	0.56	0.51	1.37	1.04	0.48	0.63	1.60	0.96
chile	1.56	2.15	1.91	1.79	1.72	1.91	1.23	1.43	1.07	1.00	1.69	1.23	1.43	0.91	3.07	1.13	1.01	1.79	1.00	2.87	1.07	1.00	1.07	1.16	3.74	1.28	1.07	0.91	1.43	1.56	1.46	1.00	1.32	1.32	0.86	0.87	2.97	1.05	1.72	2.15	1.79	1.46	1.01	2.46	1.06	1.15	6.62	0.93	1.32	1.72	1.07	1.37	1.72	1.26	1.32	1.23	1.72	2.39	0.90	1.05	1.26	1.95	2.15	1.62	1.76	1.56	1.72	1.23	1.00	0.99	1.95	0.92	0.87	0.96	0.91	1.07	1.56	0.93	1.72	10.75	1.69	0.98	1.76	1.01	1.00	1.91	0.93	2.97	1.48	1.43	1.25	1.72	1.34	1.56	1.01	0.91	2.46	1.87	0.87	1.13	2.87	1.72
china	0.55	0.75	0.67	0.62	0.60	0.67	0.43	0.50	0.38	0.35	0.59	0.43	0.50	0.32	1.07	0.39	0.35	0.62	0.35	1.00	0.38	0.35	0.38	0.41	1.30	0.45	0.38	0.32	0.50	0.55	0.51	0.35	0.46	0.46	0.30	0.30	1.03	0.37	0.60	0.75	0.62	0.51	0.35	0.86	0.37	0.40	2.31	0.33	0.46	0.60	0.38	0.48	0.60	0.44	0.46	0.43	0.60	0.83	0.31	0.37	0.44	0.68	0.75	0.57	0.61	0.55	0.60	0.43	0.35	0.34	0.68	0.32	0.30	0.33	0.32	0.38	0.55	0.33	0.60	3.75	0.59	0.34	0.61	0.35	0.35	0.67	0.33	1.03	0.52	0.50	0.43	0.60	0.47	0.55	0.35	0.32	0.86	0.65	0.30	0.39	1.00	0.60
colombia	1.45	2.00	1.78	1.67	1.60	1.78	1.14	1.33	1.00	0.93	1.57	1.14	1.33	0.85	2.86	1.05	0.94	1.67	0.93	2.67	1.00	0.93	1.00	1.08	3.48	1.19	1.00	0.85	1.33	1.45	1.36	0.93	1.23	1.23	0.80	0.81	2.76	0.98	1.60	2.00	1.67	1.36	0.94	2.29	0.99	1.07	6.15	0.87	1.23	1.60	1.00	1.27	1.60	1.18	1.23	1.14	1.60	2.22	0.83	0.98	1.18	1.82	2.00	1.51	1.63	1.45	1.60	1.14	0.93	0.92	1.82	0.86	0.81	0.89	0.84	1.00	1.45	0.87	1.60	10.00	1.57	0.91	1.63	0.94	0.93	1.78	0.87	2.76	1.38	1.33	1.16	1.60	1.25	1.45	0.94	0.84	2.29	1.74	0.81	1.05	2.67	1.60
costa-rica	1.56	2.15	1.91	1.79	1.72	1.91	1.23	1.43	1.07	1.00	1.69	1.23	1.43	0.91	3.07	1.13	1.01	1.79	1.00	2.87	1.07	1.00	1.07	1.16	3.74	1.28	1.07	0.91	1.43	1.56	1.46	1.00	1.32	1.32	0.86	0.87	2.97	1.05	1.72	2.15	1.79	1.46	1.01	2.46	1.06	1.15	6.62	0.93	1.32	1.72	1.07	1.37	1.72	1.26	1.32	1.23	1.72	2.39	0.90	1.05	1.26	1.95	2.15	1.62	1.76	1.56	1.72	1.23	1.00	0.99	1.95	0.92	0.87	0.96	0.91	1.07	1.56	0.93	1.72	10.75	1.69	0.98	1.76	1.01	1.00	1.91	0.93	2.97	1.48	1.43	1.25	1.72	1.34	1.56	1.01	0.91	2.46	1.87	0.87	1.13	2.87	1.72
croatia	1.45	2.00	1.78	1.67	1.60	1.78	1.14	1.33	1.00	0.93	1.57	1.14	1.33	0.85	2.86	1.05	0.94	1.67	0.93	2.67	1.00	0.93	1.00	1.08	3.48	1.19	1.00	0.85	1.33	1.45	1.36	0.93	1.23	1.23	0.80	0.81	2.76	0.98	1.60	2.00	1.67	1.36	0.94	2.29	0.99	1.07	6.15	0.87	1.23	1.60	1.00	1.27	1.60	1.18	1.23	1.14	1.60	2.22	0.83	0.98	1.18	1.82	2.00	1.51	1.63	1.45	1.60	1.14	0.93	0.92	1.82	0.86	0.81	0.89	0.84	1.00	1.45	0.87	1.60	10.00	1.57	0.91	1.63	0.94	0.93	1.78	0.87	2.76	1.38	1.33	1.16	1.60	1.25	1.45	0.94	0.84	2.29	1.74	0.81	1.05	2.67	1.60
czech-republic	1.35	1.85	1.64	1.54	1.48	1.64	1.06	1.23	0.93	0.86	1.45	1.06	1.23	0.79	2.64	0.97	0.87	1.54	0.86	2.47	0.93	0.86	0.93	1.00	3.22	1.10	0.93	0.79	1.23	1.35	1.25	0.86	1.14	1.14	0.74	0.75	2.55	0.90	1.48	1.85	1.54	1.25	0.87	2.11	0.91	0.99	5.69	0.80	1.14	1.48	0.93	1.17	1.48	1.09	1.14	1.06	1.48	2.06	0.77	0.90	1.09	1.68	1.85	1.40	1.51	1.35	1.48	1.06	0.86	0.85	1.68	0.80	0.75	0.82	0.78	0.93	1.35	0.80	1.48	9.25	1.45	0.84	1.51	0.87	0.86	1.64	0.80	2.55	1.28	1.23	1.07	1.48	1.16	1.35	0.87	0.78	2.11	1.61	0.75	0.97	2.47	1.48
denmark	0.42	0.57	0.51	0.48	0.46	0.51	0.33	0.38	0.29	0.27	0.45	0.33	0.38	0.24	0.82	0.30	0.27	0.48	0.27	0.77	0.29	0.27	0.29	0.31	1.00	0.34	0.29	0.24	0.38	0.42	0.39	0.27	0.35	0.35	0.23	0.23	0.79	0.28	0.46	0.57	0.48	0.39	0.27	0.66	0.28	0.31	1.77	0.25	0.35	0.46	0.29	0.37	0.46	0.34	0.35	0.33	0.46	0.64	0.24	0.28	0.34	0.52	0.57	0.43	0.47	0.42	0.46	0.33	0.27	0.26	0.52	0.25	0.23	0.26	0.24	0.29	0.42	0.25	0.46	2.88	0.45	0.26	0.47	0.27	0.27	0.51	0.25	0.79	0.40	0.38	0.33	0.46	0.36	0.42	0.27	0.24	0.66	0.50	0.23	0.30	0.77	0.46
ecuador	1.22	1.68	1.49	1.40	1.34	1.49	0.96	1.12	0.84	0.78	1.31	0.96	1.12	0.71	2.39	0.88	0.79	1.40	0.78	2.23	0.84	0.78	0.84	0.91	2.91	1.00	0.84	0.71	1.12	1.22	1.14	0.78	1.03	1.03	0.67	0.68	2.31	0.82	1.34	1.68	1.40	1.14	0.79	1.91	0.83	0.89	5.15	0.73	1.03	1.34	0.84	1.06	1.34	0.99	1.03	0.96	1.34	1.86	0.70	0.82	0.99	1.52	1.68	1.26	1.37	1.22	1.34	0.96	0.78	0.77	1.52	0.72	0.68	0.74	0.71	0.84	1.22	0.73	1.34	8.38	1.31	0.76	1.37	0.79	0.78	1.49	0.73	2.31	1.16	1.12	0.97	1.34	1.05	1.22	0.79	0.71	1.91	1.46	0.68	0.88	2.23	1.34
egypt	1.45	2.00	1.78	1.67	1.60	1.78	1.14	1.33	1.00	0.93	1.57	1.14	1.33	0.85	2.86	1.05	0.94	1.67	0.93	2.67	1.00	0.93	1.00	1.08	3.48	1.19	1.00	0.85	1.33	1.45	1.36	0.93	1.23	1.23	0.80	0.81	2.76	0.98	1.60	2.00	1.67	1.36	0.94	2.29	0.99	1.07	6.15	0.87	1.23	1.60	1.00	1.27	1.60	1.18	1.23	1.14	1.60	2.22	0.83	0.98	1.18	1.82	2.00	1.51	1.63	1.45	1.60	1.14	0.93	0.92	1.82	0.86	0.81	0.89	0.84	1.00	1.45	0.87	1.60	10.00	1.57	0.91	1.63	0.94	0.93	1.78	0.87	2.76	1.38	1.33	1.16	1.60	1.25	1.45	0.94	0.84	2.29	1.74	0.81	1.05	2.67	1.60
el-salvador	1.71	2.35	2.09	1.96	1.88	2.09	1.34	1.57	1.18	1.09	1.84	1.34	1.57	1.00	3.36	1.24	1.11	1.96	1.09	3.13	1.18	1.09	1.18	1.27	4.09	1.40	1.18	1.00	1.57	1.71	1.59	1.09	1.45	1.45	0.94	0.95	3.24	1.15	1.88	2.35	1.96	1.59	1.11	2.69	1.16	1.25	7.23	1.02	1.45	1.88	1.18	1.49	1.88	1.38	1.45	1.34	1.88	2.61	0.98	1.15	1.38	2.14	2.35	1.77	1.92	1.71	1.88	1.34	1.09	1.08	2.14	1.01	0.95	1.04	0.99	1.18	1.71	1.02	1.88	11.75	1.84	1.07	1.92	1.11	1.09	2.09	1.02	3.24	1.62	1.57	1.36	1.88	1.47	1.71	1.11	0.99	2.69	2.04	0.95	1.24	3.13	1.88
estonia	1.09	1.50	1.33	1.25	1.20	1.33	0.86	1.00	0.75	0.70	1.18	0.86	1.00	0.64	2.14	0.79	0.71	1.25	0.70	2.00	0.75	0.70	0.75	0.81	2.61	0.90	0.75	0.64	1.00	1.09	1.02	0.70	0.92	0.92	0.60	0.61	2.07	0.73	1.20	1.50	1.25	1.02	0.71	1.71	0.74	0.80	4.62	0.65	0.92	1.20	0.75	0.95	1.20	0.88	0.92	0.86	1.20	1.67	0.62	0.73	0.88	1.36	1.50	1.13	1.22	1.09	1.20	0.86	0.70	0.69	1.36	0.65	0.61	0.67	0.63	0.75	1.09	0.65	1.20	7.50	1.18	0.68	1.22	0.71	0.70	1.33	0.65	2.07	1.03	1.00	0.87	1.20	0.94	1.09	0.71	0.63	1.71	1.30	0.61	0.79	2.00	1.20
ethiopia	1.00	1.38	1.22	1.15	1.10	1.22	0.79	0.92	0.69	0.64	1.08	0.79	0.92	0.59	1.96	0.72	0.65	1.15	0.64	1.83	0.69	0.64	0.69	0.74	2.39	0.82	0.69	0.59	0.92	1.00	0.93	0.64	0.85	0.85	0.55	0.56	1.90	0.67	1.10	1.38	1.15	0.93	0.65	1.57	0.68	0.73	4.23	0.60	0.85	1.10	0.69	0.87	1.10	0.81	0.85	0.79	1.10	1.53	0.57	0.67	0.81	1.25	1.38	1.04	1.12	1.00	1.10	0.79	0.64	0.63	1.25	0.59	0.56	0.61	0.58	0.69	1.00	0.60	1.10	6.88	1.08	0.62	1.12	0.65	0.64	1.22	0.60	1.90	0.95	0.92	0.80	1.10	0.86	1.00	0.65	0.58	1.57	1.20	0.56	0.72	1.83	1.10
finland	1.07	1.48	1.31	1.23	1.18	1.31	0.84	0.98	0.74	0.69	1.16	0.84	0.98	0.63	2.11	0.78	0.69	1.23	0.69	1.97	0.74	0.69	0.74	0.80	2.57	0.88	0.74	0.63	0.98	1.07	1.00	0.69	0.91	0.91	0.59	0.60	2.03	0.72	1.18	1.48	1.23	1.00	0.69	1.69	0.73	0.79	4.54	0.64	0.91	1.18	0.74	0.94	1.18	0.87	0.91	0.84	1.18	1.64	0.61	0.72	0.87	1.34	1.48	1.11	1.20	1.07	1.18	0.84	0.69	0.68	1.34	0.63	0.60	0.66	0.62	0.74	1.07	0.64	1.18	7.38	1.16	0.67	1.20	0.69	0.69	1.31	0.64	2.03	1.02	0.98	0.86	1.18	0.92	1.07	0.69	0.62	1.69	1.28	0.60	0.78	1.97	1.18
