COUNTRY	Argentina	Aruba	Austria	Bangladesh	Belgium	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	India	Indonesia	Ireland	Israel	Italy	Japan	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Isle of Man	0 		7 		63 	35 	0 	18 		0 	172 		0 		15 	1 	30 	3 	24 	255 	143 	5 	1 	3 	0 		1248 		70 	159 	0 	22 	0 			4 	0 	1219 	826 	C 	10 		96 					C 	0 	1 	0 	0 	70 	0 	0 	491 	C 	146 		0 		1954 	3540 		C 	10632 
Israel	0 		365 		277 	3 	0 	1920 		9 	35 	1 	0 	1 	14 	5 	296 	1 	73 	1380 	2596 	4 	1 	2 	0 	0 	1130 		155 	1615 	16 	232 	0 		0 	0 	0 	3396 	2 	8 	1 	0 	1386 	26 		5 		C 	0 	C 	0 	0 	827 	24 	12 	4 	C 	954 	82 	2 		6787 	70060 		C 	93709 
Italy	0 	7 	26043 	108 	40248 	59 	125 	7750 	10 	578 	1189 	58 	0 	0 	592 	198 	10507 	311 	8496 	373790 	247544 	15229 	132 	15 	0 	22 	120511 	425 		62789 	104 	1312 	105 		163 	39 	39 	206041 	5 	572 	3 	7 	69842 	520 		20 	C 	358 	21480 	65 	4 	1982 	C 	2108 	918 	2380 	85849 	13152 	79 	2 		140495 	150721 		26387 	1641487 
Jamaica	0 		7 		0 	0 	0 	6 	27 	0 	0 		0 	11 	0 		8 	0 	C 	7 	57 		0 		0 		0 		28 	2 	0 	0 	0 			4 	0 	109 		C 			5 					0 	0 		0 	5 	C 	0 	0 		C 	11 		0 		144 	133 		C 	566 
Japan	13 	16 	1369 	50 	2222 	13 	22 	47067 	103 	4053 	26512 	121 	0 	0 	3 	25 	9320 	1 	1727 	119558 	23765 	8 	4 	47 	2 	31 	69630 	444 	4861 		4252 	8766 	0 	3 	8 	8 	1 	92240 	360 	25 	16 	74 	78722 	3050 	22 	7 	24 	2 	423 	0 	1 	12452 	C 	91 	55 	692 	2146 	24588 	238 	1 		234515 	700189 		201186 	1675143 
Jersey	0 	3 	2711 		1859 	183 	4 	2086 		0 	2379 	15 	0 	1 	-29 	55 	1929 	2 	1958 	17057 	12970 	1001 	240 	31 	0 	0 	9920 	4 	4079 	18578 	66 	1043 	0 	10 	17 	13 	6 	28386 	12 	C 	36 		9943 					27 	448 	4 	525 	0 	341 	9 	5 	843 	3428 	19884 	0 	0 		52051 	86647 		C 	280782 
Jordan	0 		0 			0 	0 	7 		0 	7 		0 		92 		10 	0 		1 	30 		0 		0 		19 		12 	10 	0 	0 	0 	173 		154 	0 	104 	0 	0 			12 					0 	0 		0 	16 		0 	0 		C 	7 		0 		135 	1832 		C 	2623 
Kazakhstan	0 		183 		48 	0 	1 	99 	2 	0 	0 		0 	0 	-3 	59 	663 	1 	38 	148 	1683 	3 	35 	0 	0 		1007 		308 	171 		87 	0 		32 	1 	9 	2919 	16 	C 			578 		3 	1 	C 	9 	0 		12 	54 	36 	8 	1 		C 	351 	1 	1 		843 	3923 		C 	13331 
Kenya	0 		3 		0 	0 	0 	8 		0 	38 		0 		4 		107 	0 	40 	24 	113 		0 		1 	0 	216 		6 	25 	0 	1 	0 			0 	0 	1216 	0 	0 	472 		60 	0 				0 	0 		0 	0 	C 	0 	0 	198 	C 	19 	0 	0 		431 			0 	2982 
Kiribati	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Korea, Democratic People's Rep. of	0 					0 	0 				0 		0 		0 		0 	0 			0 		0 							0 	0 	0 	0 			0 	0 	0 	0 	0 			0 					0 	0 		0 	0 		0 			C 			0 		0 			0 	0 
Korea, Republic of	0 	3 	779 	15 	1043 	2483 	1 	14364 	26 	139 	14647 	555 	1 	0 	7 	37 	2546 	11 	744 	12794 	10320 	5 	1 	7 	10 	192 	18087 	92 	931 	25896 	2092 		0 			6 	6 	37212 	1763 	21 	27 	29 	12993 	C 	6 	29 	284 	27 	39 		4 	3763 	47290 	53 	71 	171 	1069 	12956 	2633 	0 		36320 	191249 		C 	455847 
Kosovo, Republic of	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 				0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			C 	0 
Kuwait	0 		0 	2 		0 	0 	1 		0 	11 		0 		0 		26 	5 	11 	17 	0 		0 		0 	4 	94 			8 	0 	9 	0 			18 	0 	637 	449 	0 	36 		0 	C 			C 	0 	0 		0 	156 	C 	0 	0 		C 	34 	1 	20 		1171 			0 	2710 
Kyrgyz Republic	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 	1 		26 	105 	0 	0 			0 	0 	181 		0 			3 					0 	0 		0 	1 		0 	0 		C 	0 		0 		5 			C 	321 
Lao People's Democratic Republic	0 		0 		2 	0 	0 			0 	C 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	368 	0 			0 	0 	15 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	0 	101 	0 		7 			0 	493 
Latvia	0 		460 		136 	0 	41 	33 		0 	0 		0 		1 	16 	84 	171 	83 	184 	1629 		2 		0 		168 		109 	95 	0 	0 	0 			0 	132 	654 		C 			381 					C 	0 		0 	0 		59 	33 		C 	278 		0 	1 	267 	811 		C 	5829 
Lebanon	0 		7 		7 	0 	0 	29 		0 	18 		0 		27 	0 	96 	0 	C 	111 	161 		0 		0 	0 	10 		153 	22 	0 	1 	0 	46 			0 	758 		0 			264 					0 	0 		0 	99 		0 	0 		C 	18 		165 		450 	1235 		0 	3676 
Lesotho	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 	1 	0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		1 			0 	1 
Liberia	0 		0 		22 	0 	0 	320 		1 	30 	1 	0 		0 		41 	0 	30 	33 	45 		0 		0 		70 		9 	352 	0 	15 	0 			0 	0 	541 	0 	C 			61 					C 	0 		0 	0 	C 	0 	0 		C 	76 		0 		103 	6065 		C 	7813 
Libya	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 		2 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	57 		0 	0 		0 	0 	0 	C 	0 		0 		4 			0 	64 
Liechtenstein	0 		1751 		3 	5 	0 	2 		0 	13 		0 		0 	0 	0 	0 	C 	38 	1700 		4 		0 	0 	1 		23 	3 	0 	0 	0 			0 	0 	428 	0 	0 			4 					0 	0 		0 	0 	C 	0 	4 		C 			0 		15 			C 	3997 
Lithuania	0 		436 		112 	0 	38 	98 		0 	0 	2 	0 		5 	11 	177 	146 	60 	294 	2443 		4 	0 	0 		280 		128 	119 	0 	8 	0 		331 	7 		1160 		C 			523 			0 		58 	0 	C 	1 	57 		113 	63 		C 	404 	3 	0 		462 	2272 		C 	9816 
Luxembourg	680 	2 	41665 		206915 	448 	493 	8132 	571 	43218 	52876 	1839 	2396 	67 	1059 	4243 	36169 	1251 	46914 	320233 	563383 	79785 	3543 	1684 	456 	876 	79404 	8602 	439352 	112100 	223 	12087 	195 	60 	1236 	259 	1029 		488 	952 	1311 	1025 	106520 	C 	5 	107 	68 	6492 	18188 	656 	17209 	1181 	24592 	780 	960 	24287 	99707 	197627 	2544 	131 		111429 	136286 		C 	2825989 
Macedonia, FYR	0 		61 		0 	0 	1 			0 	0 		0 		0 		7 	0 	C 	1 	22 	71 	0 		0 		0 		11 	0 	0 	0 	0 		0 	0 	2 	47 		0 			0 					0 	0 		0 	0 		2 	18 		C 	1 	0 	0 		47 			C 	292 
Madagascar	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 		36 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	1 		0 	52 		0 					0 	0 		0 	0 		0 	0 	1 	C 	0 		0 		1 			0 	92 
Malawi	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 	C 		0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	6 		0 	3 		0 					0 	0 		0 	0 		0 	0 	5 	C 	0 		0 		0 	3 		0 	16 
Malaysia	0 		352 	9 	319 	0 	0 	2479 	12 	22 	11168 	206 	0 		2 	0 	1068 	0 	310 	3166 	2822 		0 	1 	0 	13 	5861 		250 	7431 	15 	854 	0 	230 	7 	6 	2 	15692 		0 	299 	3 	5906 	C 	11 		158 	C 	0 		0 	2244 	37447 	0 	4 	23 	C 	1684 	202 	17 		17126 	44165 		C 	161586 
Maldives	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 	1 		0 					0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		0 			0 	1 
Mali	0 		0 			0 	0 			0 	0 		0 		0 		7 	0 	C 	1 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	12 		0 		2 			0 	22 
Malta	0 		61 	9 	65 	0 	0 	1059 		0 	C 		85 		0 	73 	18 	0 	70 	231 	130 		4 		0 		351 		865 	1 	0 	0 	0 	0 	13 	22 	0 	1131 			1 		85 					0 	23 		0 	0 	C 	14 	0 	1699 	C 	515 		0 		87 	465 		C 	7077 
Marshall Islands, Republic of	0 		5 		15 	10 	0 	168 		0 	0 		0 		0 	1 	66 	0 	120 	60 	25 		0 	0 	0 		176 	4 	31 	200 	0 	78 	0 		0 	0 	0 	663 	1 	C 			49 			0 		C 	0 		0 	0 	C 	0 	0 		C 	45 	0 	0 		307 	26098 		0 	28122 
Martinique	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Mauritania	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	1 	0 	0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	6 		0 		0 			0 	7 
Mauritius	0 		1 		9 	0 	0 	4 		0 	23 	5 	0 		10 	87 	107 	0 	208 	87 	30 		0 		112 	0 	553 	2 	11 	1827 	0 	6 	0 	19 		0 	0 	3325 	49 	C 			212 		0 		C 	0 	0 		0 	0 	C 	0 	0 	1018 	C 	296 		0 		572 	8841 		0 	17413 
Mayotte	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Mexico	6 	7 	1023 		1215 	473 	12 	6544 	492 	1693 	167 	69 	97 	10 	2 	2 	3154 	10 	502 	8446 	13636 	12 	7 	1 	0 	0 	15529 	233 	1877 	18247 	1 	1071 	0 		11 	9 	5 	40971 	1 	20 	0 		9970 	C 	3 	175 	C 	6 	159 		0 	2083 	C 	39 	46 	67 	4605 	6326 	253 	2 		31350 	164472 	5 	C 	335116 
Micronesia, Federated States of	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Moldova	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	1 	0 	0 			0 	0 	28 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			C 	29 
Monaco	0 		0 		0 	2 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		20 		14 	0 	0 	0 	0 			0 	0 	69 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 			0 		-8 	43 		C 	141 
Mongolia	0 		8 		1 	0 	0 			0 	29 		0 		0 	0 	142 	0 	C 	31 	168 		1 		0 		0 		43 	238 	0 	0 	0 		1 	0 	0 	619 		0 			102 					0 	0 		0 	32 	C 	1 	0 		C 	37 		0 		230 			C 	1683 
Montenegro	0 		26 		2 	0 	21 		11 	0 	0 		0 		0 	1 	35 	0 		6 	126 		2 		0 		1 		52 	0 	0 	0 	0 		9 	0 	1 	134 		C 			1 					2 	0 	C 	0 	0 		10 	1 		C 	8 		0 		0 			C 	451 
Montserrat	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Morocco	0 		89 		118 	0 	0 	42 		0 	154 		0 		10 		152 	4 	62 	2186 	938 		1 		0 	0 	66 		162 	93 	0 	4 	0 	9 	2 	2 	0 	883 	1 	C 	131 		219 				C 	0 	119 	C 	0 	19 	C 	0 	1 	6 	C 	136 	1 	0 		566 	2141 		C 	8317 
Mozambique	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			2 	0 	0 	0 			0 	0 	2 		0 	80 		0 					0 	104 		0 	0 		0 	0 	40 	C 	6 		0 		12 			0 	245 
Myanmar	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		0 			0 	0 
Namibia	0 		5 			0 	0 			0 	C 		0 		0 		9 	0 	10 	9 	101 		0 		0 		3 		10 	6 	0 	0 	0 		0 	0 	0 	120 	0 	0 	2 		11 					0 	0 		0 	1 		0 	0 	91 	C 	1 		0 		64 	152 		C 	595 
Nauru	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Nepal	0 		0 	2 		0 	0 			0 	5 		0 		0 		0 	0 			0 		0 		0 		0 			1 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 	0 		0 		1 			0 	9 
Netherlands	1 	27 	25377 	67 	63759 	210 	433 	16493 	355 	1216 	5229 	198 	295 	46 	574 	2229 	15526 	809 	19573 	356394 	296232 	2008 	115 	305 	7 	1101 	106531 	1267 	53721 	143368 	1952 	3767 	82 	29 	734 	157 	198 	178039 	159 	1593 	210 	14 		1472 	4 	71 	30 	807 	15087 	233 	2113 	2426 	C 	2402 	1410 	200 	34549 	85100 	178 	62 	15 	228521 	412789 	2 	99690 	2187561 
Netherlands Antilles																																																																		
New Zealand	0 	2 	120 	6 	189 	0 	0 	931 	17 	30 	523 	28 	7 	0 	0 	5 	110 	1 	160 	574 	1976 	5 	4 	0 	0 	0 	3247 	9 	94 	7562 	7 	335 	0 		0 	1 	0 	2413 	34 	186 	14 		817 			1 	C 	C 	38 		0 	244 	C 	196 	4 	25 	C 	2709 	4 	0 		5771 	21355 		C 	49755 
Nicaragua	0 		0 			0 	0 			0 	0 		0 	0 	0 		0 	0 			0 		0 		0 		3 			0 	0 	0 	0 			0 	0 	60 		0 			1 			6 		0 	0 		0 	0 		0 	0 		C 	0 		0 		7 		24 	0 	101 
Niger	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 		0 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 	0 	0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	1 
Nigeria	0 		12 		1 	55 	0 	120 		0 	79 		0 		3 		326 	1 	144 	127 	204 		2 	0 	0 	2 	960 		117 	76 	0 	13 	0 		1 	1 	0 	4273 		0 	1195 		572 				C 	0 	0 		0 	142 	C 	0 	0 	1125 	C 	101 		0 		2590 			C 	12243 
Niue	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Norfolk Island	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Norway	0 	2 	4502 	8 	3213 	15 	0 	4114 	74 	110 	1720 	24 	141 	9 	25 	16 	8358 	77 	10348 	18508 	47661 	74 	6 	804 	0 		13113 	16 	2672 	29884 	273 	640 	0 		113 	1 	105 	22513 	51 	263 	141 		13429 	C 		4 	C 	44 	110 	34 	3 	505 	C 	637 	111 	31 	1653 	12447 	5 	0 		31639 	81673 		C 	311919 
Oman	0 		0 			0 	0 	3 		0 	4 		0 		0 		31 	5 	C 	6 	108 		0 		1 		86 		0 	0 	0 	1 	0 	103 		13 	0 	266 	1 	0 	0 		5 					0 	0 		0 	90 	C 	0 	1 	3 	C 	9 		0 		162 			0 	900 
Pakistan	0 		11 	7 		1 	0 	76 	15 	0 	104 		0 		0 		153 	0 	C 	4 	10 		0 		0 	1 	79 		42 	54 	0 	10 	0 	11 	1 	1 	0 	2309 	0 	0 	137 		258 					0 	0 		0 	219 	C 	0 	0 		C 	21 		10 		297 	2200 		0 	6030 
Palau	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Panama	0 		51 		62 	78 	0 	430 	86 	102 	352 		268 	89 	0 	4 	409 	0 	26 	110 	1063 		0 	0 	0 		702 		176 	893 	2 	344 	0 		1 	0 	0 	2370 	0 	C 	45 	1 	780 					C 	0 		4 	82 	C 	1 	0 	3 	C 	761 	28 	0 		421 	26499 	1 	C 	36244 
Papua New Guinea	0 		1 		17 	0 	0 	55 		0 	40 	3 	0 		0 		17 	0 	23 	21 	41 		0 	0 	0 		89 		4 	26 	0 	6 	0 			0 	0 	411 	5 	0 			19 					0 	0 		0 	0 	11 	0 	0 		C 	37 		0 		391 	2172 		0 	3390 
Paraguay	0 		5 			39 	0 		3 	3 	0 		0 		0 		33 	0 		3 	63 		0 		0 		0 		6 	9 	0 	0 	0 			0 	0 	276 		0 			40 					0 	0 		0 	0 		0 	0 	23 	C 	3 		0 		11 			0 	516 
Peru	0 		149 		106 	3 	0 	468 	83 	824 	17 	0 	253 	6 	0 	1 	493 	0 	99 	170 	1821 		1 		0 		1326 	9 	151 	294 	2 	36 	0 		2 	0 	0 	4245 	0 	C 	0 	2 	1326 	21 		367 		C 	0 		0 	332 	C 	1 	0 	8 	C 	587 	1 	0 		1364 	10985 	2 	C 	25557 
Philippines	0 		161 		81 	0 	0 	1136 		0 	994 	0 	3 	2 	0 	1 	934 	0 	225 	766 	2163 		0 	0 	1 	41 	2098 		264 	2741 	0 	162 	0 	0 	1 	0 	0 	7874 	284 	C 	73 		2133 	C 				0 	0 		8 	798 	10426 	2 	5 	5 	C 	1010 	67 	0 		5320 	24785 		C 	64565 
Pitcairn Islands	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		2 			0 	2 
Poland	0 	2 	6183 	37 	2483 	0 	107 	1254 		30 	45 	7 	0 		41 	1072 	1687 	134 	737 	9071 	28869 	221 	244 	0 	0 	0 	8237 	46 	2143 	8273 	122 	414 	0 		52 	26 	86 	20060 	0 	37 	1 		5587 	39 			C 		32 	41 	2 	414 	C 	1158 	219 	27 	C 	4413 	11 	1 		8988 	33698 		C 	146353 
Portugal	0 		1767 	4 	4126 	649 	55 	643 	562 	2 	23 	18 	0 		52 	16 	1725 	33 	1452 	27737 	23897 	1340 	1 	0 	0 	1 	53019 	1 	10003 	911 	2 	138 	0 	1 	21 	1 	9 	15116 	0 	C 			9223 	50 		0 		74 		1 	0 	115 	C 	673 	132 	15 	17469 	797 	0 	0 		7618 	12629 		C 	192123 
Puerto Rico	0 		0 		4 	20 	0 	89 		0 	0 		0 	0 	0 		10 	0 	C 	20 	0 		0 	0 	0 		8 		2 	61 	0 	2 	0 			0 	0 	0 	0 	0 			38 			17 		0 	0 		0 	0 	C 	0 	0 		C 		0 	0 		6 			C 	279 
Qatar	0 		247 	2 	51 	0 	0 	73 	7 	1 	598 	164 	0 		2 		192 	20 	10 	179 	732 		0 		0 	0 	1057 		17 	951 	4 	61 	0 	925 	1 	173 	2 	1689 	45 	C 	0 		593 	4 	31 	3 	C 	0 	0 		0 	6260 	C 	0 	0 	1 	C 	384 	99 	0 		1054 			C 	15632 
Reunion	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 	0 	3 			0 	0 	0 	0 			0 	0 	1 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	3 
Romania	0 		2532 	2 	115 	0 	421 	109 		0 	0 	0 	0 		139 	304 	511 	65 	208 	558 	2203 	276 	45 		0 		1053 		379 	178 	0 	22 	0 		59 	7 	100 	4490 		C 	1 		1561 				C 	559 	0 		1 	115 	C 	136 	53 		C 	286 	0 	3 		881 	4502 		C 	21874 
Russian Federation	0 	4 	1647 	29 	254 	1 	41 	3350 	90 	30 	207 	32 	0 	2 	4242 	302 	2313 	94 	1156 	12754 	5757 	30 	78 	4 	0 		9824 	56 	956 	2899 	251 	1231 	0 		75 	68 	18 	24766 	1100 	C 	5 	30 	9192 	83 	5 	8 	C 	86 	10 	0 		1531 	C 	21 	101 	89 	214 	3221 	272 	14 	4 	36687 	69372 		C 	194607 
Rwanda	0 		1 			0 	0 			0 	0 		0 		-3 		13 	0 		1 	23 		0 		0 		11 		8 	1 	0 	0 	0 			0 	0 	146 		0 	88 		14 					0 	0 		0 	0 	C 	0 	0 	1 	C 	1 		0 		13 			0 	317 
Saint Helena	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 	0 	0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Saint Pierre and Miquelon	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Samoa	0 		0 			0 	0 			0 	25 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 	10 	0 		0 			0 	35 
San Marino	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 		43 	0 	0 	0 	0 			0 	0 	2 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		1 			0 	46 
Sao Tome and Principe	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Saudi Arabia	0 		0 	18 		0 	0 	37 		0 	115 		0 		0 		0 	0 		716 	0 		0 	0 	0 	6 	34 			140 	0 	3 	0 	1708 		226 	0 	13 	204 	0 			516 		216 		C 	0 	0 		0 		C 	0 	0 		C 	56 	33 	0 		9040 			C 	13081 
Senegal	0 		1 			0 	0 	0 		0 	110 		0 		0 		55 	0 	C 	131 	78 		0 		0 		119 		4 	11 	0 	12 	0 		0 	0 	0 	222 	0 	0 			26 					0 	0 		0 	0 		0 	0 	1 	C 	6 		0 		52 	149 		0 	975 
Serbia, Republic of	0 		152 		1 	0 	4 	73 		0 	0 		0 		18 		199 	4 	40 	632 	462 		0 		0 		302 		70 	73 	0 	4 	39 	21 	1 	5 	1 	3046 		0 	8 		306 					C 	0 	C 	0 	58 		0 	30 		C 	19 		0 		241 			C 	5809 
Seychelles	0 		4 		0 	0 	0 		3 	0 	0 		0 		0 		9 	0 		0 	14 		0 	0 	0 		0 		503 	0 	0 	0 	0 			0 	0 	20 		0 	426 		0 					C 	0 		0 	0 		0 	0 		C 	37 		0 		3 			0 	1020 
Sierra Leone	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 	0 	0 	10 		0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		157 			0 	167 
Singapore	0 	2 	223 	9 	291 	8 	0 	5610 	8 	27 	15000 	418 	0 		7 	0 	866 	0 	354 	1726 	3051 	3 	2 	3 	7 	1358 	17206 	38 	217 	19945 	749 	1944 	0 	11 	20 	2 	2 	20899 	21589 	18 	1022 		8819 	C 		0 	54 	0 	10 		2 	1850 		0 	5 	474 	C 	4653 	429 	1 		20577 	93149 		7883 	250541 
Sint Maarten	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 		1255 	0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		126 			0 	1381 
Slovak Republic	0 		5855 	4 	3715 	0 	70 	40 		0 	0 	25 	0 		8 	3848 	112 	38 	102 	1893 	9562 	12 	61 	0 	0 		994 	1 	864 	328 	0 	63 	0 		25 	2 	26 	2217 		31 			779 					35 	67 		4 	0 	C 		260 		C 	1579 		0 		361 			C 	32979 
Slovenia	0 		1739 		607 	0 	96 	45 	2 	1 	3 	8 	0 		1 	173 	317 	25 	157 	2130 	4380 	1 	61 	0 	0 		1859 	24 	935 	460 	0 	30 	1 		40 	6 	57 	2548 		C 			470 					99 	83 	51 	3 	0 	C 	388 			205 	176 	3 	0 		894 	5153 		C 	23228 
Solomon Islands	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 	0 	0 		0 			0 	0 
Somalia	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
South Africa	0 	4 	299 	4 	292 	1 	2 	4381 	14 	35 	81 	3 	2 	0 	1 	4 	1952 	1 	272 	1469 	4866 	7 	8 	2 	8 	1 	9492 	46 	638 	4747 	1 	624 	0 		2 	71 	1 	18380 	0 	C 	2546 		8529 	C 		11 	8 	5 	189 		0 	1185 	C 	1 	19 		C 	3063 	247 	1 		16641 	83618 		C 	163777 
South Sudan	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Spain	149 	5 	12662 	123 	30183 	957 	89 	8470 	21 	631 	465 	114 	168 	3 	119 	278 	9237 	66 	6387 	238496 	178205 	7004 	10 	14 	0 	2 	48498 	204 	57519 	32371 	134 	1433 	0 	0 	35 	57 	35 	99316 	1 	578 	1 	481 	65599 	367 		47 	15 	215 	25489 	5 	1 	4118 	C 	2473 	444 	121 		13969 	38 	24 		67883 	161642 	2 	20854 	1097826 
Sri Lanka	0 		31 	10 	2 	0 	0 	35 		0 	292 		0 		0 		321 	0 	31 	83 	294 		0 		10 	1 	303 		129 	106 	0 	2 	0 		1 	0 	0 	3370 	2 	0 	22 		356 				C 	0 	0 		0 	59 	C 	0 	0 		C 	32 	1 	0 		394 	3666 		C 	9550 
