COUNTRY	Argentina	Aruba	Austria	Bangladesh	Belgium	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	India	Indonesia	Ireland	Israel	Italy	Japan	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	New Zealand	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Saudi Arabia	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Cabo Verde	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	75 		0 	0 		0 	0 		C 	0 		0 		0 			0 	76 
Cayman Islands	0 	6 	3367 		2088 	2263 	2 	20223 		924 	262220 	2696 	303 	14 	43 	49 	9372 	42 	15297 	19135 	26118 	490 	18 	31 	0 	455 	39413 	248 	4033 	522543 	25 	4976 	0 	909 	22 	155 	8 	79374 	1390 	139 	535 	27 	22088 	C 	25 	178 	365 	27 	3274 	5 	18 	1487 	10477 	58 	23 	533 	3536 	45505 	659 	349 		90337 	1046965 		C 	2244861 
Central African Republic	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Chad	0 		0 			0 	0 			0 	0 		0 		0 	0 	0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		30 			0 	30 
Chile	4 		135 	3 	128 	345 	1 	1254 	163 		311 	7 	184 	1 	3 	2 	536 	0 	101 	637 	2023 		1 	0 	1 		1911 	3 	141 	1570 	0 	171 	0 		11 	3 	4 	4653 	0 	C 	0 	4 	1692 	21 	1 	200 	C 	C 	0 	C 	0 	595 	C 	1 	5 	3 	C 	3385 	66 	0 		5158 	29192 		C 	54628 
China, P.R.: Hong Kong	0 	3 	504 	38 	510 	8 	1 	8727 	87 	52 		12962 	0 	0 	23 	9 	2068 	1 	744 	6441 	4421 	5 	6 	16 	52 	425 	14532 	210 	589 	20667 	1087 	6985 	0 	5 	10 	8 	0 	37061 	3576 	15 	172 	24 	12651 	408 		12 	221 	1 	37 	C 	1 	4490 	34163 	32 	41 	107 	C 	6482 	5460 	0 		53463 	145330 		C 	384945 
China, P.R.: Macao	0 		0 			0 	0 			0 	712 		0 		10 	0 	0 	0 		1 	0 		0 		0 		C 			127 	6 	158 	0 			0 	0 	38 		0 			0 			5 		0 	341 		0 	0 	C 	0 	0 		C 	0 	147 	0 		342 			C 	1887 
China, P.R.: Mainland	24 	2 	436 	63 	659 	1 	0 	12298 	31 	43 	368536 	24770 	0 	2 	0 	25 	1305 	7 	763 	10646 	4810 	5 	6 	8 	3 	1501 	13989 	8 	649 	16962 	55 	8705 	0 	41 	4 	6 	0 	34405 	884 	C 	4937 	73 	10794 	C 			252 	C 	23 		4 	3209 	76261 	30 	102 	921 	C 	3195 	3118 	1 		50801 	103464 		13162 	772002 
Christmas Island	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		0 			0 	0 
Cocos (Keeling) Islands	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	2 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 		0 	0 		C 			0 		264 			0 	266 
Colombia	0 		94 		129 	44 	0 	683 	580 	589 	4 	1 		15 	0 	1 	964 	0 	84 	439 	2961 		1 		0 	0 	3147 	1 	275 	1199 	3 	118 	0 		3 	0 	0 	6730 	0 	C 	15 		2692 	11 		774 	C 	C 	0 		0 	644 	C 	1 	1 		C 	918 	1 	0 		5099 	24694 	3 	C 	52915 
Comoros	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 	0 		0 					0 	0 		0 	0 		0 	0 		C 	0 		0 		0 			0 	0 
Congo, Democratic Republic of	0 		0 		0 	0 	0 			0 	0 		0 		0 		0 	0 			0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	13 		0 	5 		0 					0 	0 		0 	4 		0 	0 		C 	0 		0 		3 			0 	25 
Congo, Republic of	0 		0 		4 	0 	0 			0 	0 		0 		0 		6 	0 		30 	14 		0 		0 		0 		0 	3 	0 	0 	0 			0 	0 	5 		0 			3 					0 	0 		0 	0 		0 	0 		C 	0 		0 		4 	253 		0 	322 
Cook Islands	0 		0 			0 	0 			0 	0 		0 		0 		0 	0 		0 	0 		0 		0 		0 			0 	0 	0 	0 			0 	0 	0 		0 			0 					0 	0 		0 	0 	C 	0 	0 		C 			0 		0 			0 	0 
