COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Vanuatu	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Guatemala	0 	0 	0 	11 	195 	0 	83 	0 	0 	0 	0 	1 	3 	0 	1 	0 	0 	1 	0 	0 	18 	0 		0 	1 	11 	0 	0 	0 	0 	0 	0 	0 	18 	0 	0 	1 	7 	0 	0 	0 	0 	0 	33 	0 		0 	0 	4 	0 	0 	0 	0 	120 	0 	0 	0 	0 	0 		0 	0 	0 	0 	2 	0 	0 	0 	C 	206 	0 	0 	0 	0 	712 
Guernsey	0 	0 	0 	773 	0 	4 	42 	397 	95 	11 	0 	228 	15 	0 	393 	26 	10 	0 	2 	27 	491 	0 		276 	4697 	4908 	0 	191 		0 	0 	0 	0 	204 	552 	0 	842 	3602 	34 	0 	7 	58 	1 	2820 	0 		27 	0 	1875 	450 	0 	40 	0 	0 	0 	0 	156 	0 	0 		0 	1262 	51 	0 	9164 	17 	0 	0 	3727 	6396 	0 	0 	0 	0 	43870 
Guiana, French	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Guinea	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	6 	0 	0 	0 	C 	0 	0 	0 	0 	0 	6 
Guinea-Bissau	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	7 
Guyana	0 	0 	0 	0 	0 	0 	3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	25 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	0 	0 	0 	0 	0 	28 
Haiti	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
Honduras	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	0 	0 	0 	0 	0 	0 	0 		0 	7 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 	0 		0 	0 	0 	0 	0 	0 	0 	105 	0 	0 	0 	0 	0 		0 	0 	0 	0 	0 	0 	0 	0 	C 	45 	0 	0 	0 	0 	160 
Hungary	0 	0 	C 	5060 	0 	0 	0 	1058 	89 	0 	6 	207 	0 	5 	35 	0 	0 	0 	113 	339 	594 	0 	99 	247 	2557 	9186 	7 	290 	73 		0 	0 	0 	2876 	0 	7 	461 	905 	19 	0 	9 	0 	0 	11546 	0 	12 	0 	0 	1193 	5 	C 	425 	0 	0 	0 	380 	139 	2 	1 	1 	122 	0 	203 	415 	287 	2 	0 	0 	777 	5635 	25 	0 	0 	C 	45411 
Iceland	0 	0 	425 	1440 	65 	0 	0 	354 	94 	0 	0 	29 	108 	0 	507 	15 	4 	0 	194 	226 	30 	0 	2 	194 	3699 	5894 	0 	59 	177 	0 		0 	0 	1879 	0 	17 	1760 	626 	3 	0 	13 	0 	0 	3469 	5 	34 	0 	0 	379 	0 	0 	384 	0 	0 	0 	41 	309 	0 	0 		32 	0 	1741 	418 	868 	0 	0 	0 	3439 	3229 	0 	0 	0 	C 	32162 
India	0 	1 	608 	274 	18 	20 	0 	84 	311 	0 	0 	1025 	42 	1 	2058 	0 	0 	0 	79 	1 	768 	1 		299 	1522 	477 	0 	0 	69 	0 	0 		27 	2818 	28 	0 	303 	2977 	183 	0 	291 	23 	0 	12531 	16 		39136 	0 	940 	6 	C 	124 	0 	4 	17 	C 	96 	0 	0 	3122 	0 	0 	3444 	235 	174 	0 	0 	0 	10125 	33226 	0 	0 	0 	C 	117504 
Indonesia	0 	0 	C 	66 	0 	0 	0 	20 	27 	0 	0 	282 	25 	1 	467 	0 	0 	0 	0 	0 	229 	0 		22 	295 	429 	0 	0 	220 	0 	0 	0 		641 	0 	0 	160 	573 	43 	0 	6 	17 	0 	2831 	26 		3823 	0 	736 	9 	C 	29 	0 	0 	8 	0 	22 	0 	0 	5096 	0 	0 	1 	66 	169 	1 	0 	0 	3066 	9025 	0 	0 	0 	C 	28433 
