COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kuwait	Latvia	Lebanon	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Netherlands	Netherlands Antilles	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Jersey	0 		C 	5818 	40 	269 	0 	16240 	605 	73 	1 	689 	493 	0 	4878 	0 	18 	25 	188 	348 	982 		0 	882 	21551 	23010 	4 	1643 	1772 	39 	19 			17524 	354 	25 	8958 	21998 		0 	455 			56 	24816 		1178 	49 	0 	8428 	151 		1448 			124 	C 	5078 	0 	80 	345 	2 	4184 	11119 	631 	64170 	17 			52030 	28633 	1 	0 	C 	331443 
Jordan	0 		0 	1 		16 	0 	0 	0 		0 	0 		0 	2 				0 		0 	6 			2 	4 			2 			0 		13 	0 		0 	0 	84 	0 	0 	748 		173 	0 			3 	0 	7 							0 	0 	0 	0 				0 	0 	3 				22 	111 	0 	0 	0 	1199 
Kazakhstan	0 		4 	191 		107 		20 	0 	0 	1 	44 	40 	0 	108 				38 	60 	84 		47 	C 	468 	222 		69 	96 	0 	0 			79 	0 	1 	49 	71 	22 		156 		25 	0 	0 			5 	0 	113 			27 		2 	31 	52 	28 	0 	70 		0 		1 	76 	108 		7 		2712 	1341 	0 	0 	C 	6577 
Kenya	0 		0 	0 		0 		3 	0 		0 	0 		0 	26 				4 		1 	0 			0 	0 			20 			1 		13 	0 		0 	0 	4 	0 	0 	2 			72 			161 	0 	6 			3 				0 	0 	0 	0 			17 	0 	8 	2 				4 	32 	0 	0 	0 	377 
Kiribati	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 					0 			0 					0 	0 		0 	0 		0 	0 				0 				0 	0 							0 	0 	0 	0 				0 	0 	0 				0 	0 	0 	0 	0 	0 
Korea, Democratic People's Rep. of	0 	1 	C 			0 					0 				0 				0 		0 					0 								0 	0 			0 		0 	0 				0 				0 	0 							0 	0 	0 	0 				0 	0 						0 	0 	0 	0 	1 
Korea, Republic of	3 	1 	4231 	985 	233 	84 	52 	925 	6541 	4026 	0 	10777 	20 	32 	20234 	237 			441 	15 	1839 	0 		678 	24263 	5587 		28 	708 	13 	72 	54 	9 	14353 	60 		1222 	13763 	701 	0 		15 	1 	20 	33871 	961 		49 	0 	8067 	0 	C 	5261 			170 	C 	40 	0 	0 	27773 		12 	297 	1692 	2779 	527 			42102 	139555 	0 	0 	C 	375379 
Kosovo, Republic of			0 																																																																						0 		0 
Kuwait	0 		C 	112 	40 	1015 		5 	0 		0 	0 		0 	214 	3 			44 		3 	23 		0 	2 	90 		0 	42 					46 	0 		1 	7 	2 	0 	10 			33 	130 	40 			0 	34 							0 	5 	0 	0 				1 	0 	1 				1376 	0 	0 	0 	0 	3278 
Kyrgyz Republic	0 		0 	0 		0 		0 	0 	0 	0 	0 		0 	0 				0 		0 					0 			0 					0 	0 	6 	0 	4 		0 	0 				0 				0 	0 							0 	0 	0 	6 				0 	0 	0 				0 	0 	0 	100 	C 	117 
Lao People's Democratic Republic	0 		0 	0 		0 		0 	0 		0 	0 		0 	0 				0 		0 					0 			0 					0 	0 		0 	0 		0 	0 				0 				0 	0 							0 	0 	0 	0 				0 	0 	0 				23 	0 	0 	0 	0 	23 
Latvia	0 		0 	158 		0 		14 	0 		3 	0 		0 	0 				13 	0 	4 		131 	23 	6 	676 		24 	0 	8 				13 	0 		6 	6 		2 	0 				165 				0 	41 	0 		45 				0 	0 	0 	0 				0 	132 	9 				12 	18 	0 	0 	C 	1508 
