COUNTRY	Argentina	Aruba	Australia	Austria	Bahamas, The	Bahrain, Kingdom of	Barbados	Belgium	Bermuda	Bolivia	Brazil	Bulgaria	Canada	Cayman Islands	Chile	China, P.R.: Hong Kong	China, P.R.: Macao	Colombia	Costa Rica	Curacao and Sint Maarten	Cyprus	Czech Republic	Denmark	Egypt	Estonia	Finland	France	Germany	Gibraltar	Greece	Guernsey	Hungary	Iceland	India	Indonesia	Ireland	Isle of Man	Israel	Italy	Japan	Jersey	Kazakhstan	Korea, Republic of	Kosovo	Kuwait	Latvia	Lebanon	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Mongolia	Netherlands	New Zealand	Norway	Pakistan	Panama	Philippines	Poland	Portugal	Romania	Russian Federation	Singapore	Slovak Republic	Slovenia	South Africa	Spain	Sweden	Switzerland	Thailand	Turkey	Ukraine	United Kingdom	United States	Uruguay	Venezuela, República Bolivariana de	SEFER + SSIO (**)	Value of Total Investment
Bangladesh	0 		0 	0 			0 	0 	0 		0 	0 			0 	467 		0 	0 		0 		97 			0 		0 			0 	0 		0 	1 	9 	0 			0 		0 	1 	0 	35 				91 			10 		0 	3 		6 		0 		0 	0 		0 	C 		0 			0 	1 		0 		257 	102 	0 		0 	1082 
Barbados	0 	1 	C 	36 				3 	173 		0 	0 	52 	4 	0 	0 		0 			0 		7 			0 	0 	33 			19 	0 		0 	0 	37 	0 	1 	6 	24 		0 	0 	0 					257 					0 	30 				5 		0 	0 		0 			0 			0 	17 	9 	0 		227 	1684 	1 		0 	2627 
Belarus	0 		0 	8 		0 	0 		0 		0 	0 			0 	5 		0 			25 		32 			0 	23 	59 			51 	0 	0 	0 	0 	11 	0 		43 	32 		0 	0 	0 		0 	0 	1 	358 					0 	41 				0 		0 	0 		126 	C 		0 		C 	0 	0 		0 		161 	408 	0 		C 	1385 
Belgium	0 	1 	1163 	4927 		28 	20 		1178 	29 	348 	196 	2146 	1 	98 	540 	13 	25 	11 	41 	460 	2120 	1936 	31 	158 	2002 	110077 	45460 	30 	211 	206 	135 	1 	1 	1 	15958 	16 	43 	9593 	22824 	1172 	52 	314 	153 		11 	82 	15 	55257 	10 	196 	17 		0 	27640 	14 	6444 	0 	0 		45 	2113 	0 	11 	C 	125 	374 	25 	7270 	1265 	6452 	20 	1 		41991 	45546 	64 		34336 	453044 
Belize	0 		0 	1 		0 	0 	0 	0 		3 	0 	3 		0 	0 		4 	2 		0 		16 			0 	4 	1 			0 	0 		0 	0 	0 	0 		1 	0 		0 	316 	0 		20 			8 			6 		0 	0 				0 		0 	0 		8 	C 		0 		C 	0 	1 		0 		3 	84 	0 		0 	483 
Benin	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		3 			0 	19 	0 			0 	0 		0 	0 	0 	0 			0 	6 	0 	0 	0 					5 			0 		0 	0 				0 		0 	0 		0 			0 			0 	2 		0 		0 	1 	0 		0 	36 
Bermuda	0 	1 	3835 	306 	13 	57 	33 	1030 			3093 	2 	10769 	63 	11 	89574 	659 	0 	0 	68 	26 	81 	1428 		3 	1047 	4031 	2320 	6 	12 	3261 	6 	16 	207 	1 	5433 	626 	76 	543 	26864 	193 	11 	541 	0 	48 	1 	22 	3 	20804 	252 	3 	904 		0 	6184 	108 	4580 	1 	15 	3 	2 	24 	0 	168 	9266 		4 	14146 	176 	3592 	4462 	25 	0 		10194 	178344 	63 		C 	409637 
Bhutan	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	98 	0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					0 					0 	0 		30 		0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	128 
Bolivia	0 		0 	1 			0 		0 		0 	0 		2 	0 	0 		0 		0 	0 		13 			0 	0 	26 			6 	0 		0 	0 	1 	0 		8 	6 		0 	0 	0 					100 					0 	34 				0 		0 	0 		0 	C 		0 		C 	1 	2 		0 		101 	95 	2 		0 	400 
Bonaire, Sint Eustatius and Saba	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 					0 			0 	0 		0 	0 	0 				0 		0 	0 	0 					110 					0 	0 				0 		0 	0 		0 			0 			0 	87 		0 		0 	0 			C 	197 
Bosnia and Herzegovina	0 		0 	8 			0 		0 		0 	0 			0 	0 		0 			0 		34 			0 	0 	8 			0 	0 	0 	0 	0 	21 	0 		2 	0 		0 	0 	0 	19 			1 	248 					0 	9 				0 		0 	0 		0 			40 			0 	1 		0 		20 	81 	0 		C 	494 
Botswana	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		4 			0 	3 	0 			1 	0 		0 	0 	18 	0 			0 		0 	0 	0 					12 			3 		0 	1 				0 		0 	0 		0 			0 	52 		0 	0 		0 		27 	67 	0 		0 	190 
Brazil	430 	4 	4105 	562 	5340 	877 	15 	627 	4120 	5 		4 	12118 	23974 	2363 	180 	20 	475 	45 	115 	1 	15 	3602 	10 	3 	160 	9425 	6080 	6 	13 	2843 	5 	4 	2 	1 	15083 	12 	90 	1667 	27853 	544 	5 	5902 	0 		1 	16 	4 	61339 	5 		1 	296 	0 	13197 	0 	9810 	16 	560 	0 	1 	891 	C 	93 	C 	7 	122 	455 	C 	2213 	4707 	6181 	13 		127154 	216116 	264 	12 	C 	572181 
British Indian Ocean Territory	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 		0 			1 	0 		0 	0 	0 	0 			0 		0 	0 	0 					0 					0 	0 				0 		0 	0 		0 			0 			0 			0 		0 	6 	0 		C 	7 
Brunei Darussalam	0 		0 	0 			0 		0 		1 	0 		1 	0 	0 		0 			0 		0 			0 	18 	0 			0 	0 		0 	1 	0 	0 			0 		0 	2 	0 					0 	0 				0 	0 				0 		0 	0 		0 	C 		0 			0 	0 		0 		0 	0 	0 		0 	22 
Bulgaria	0 		C 	567 		3 	0 	36 	0 		0 		2 		0 	0 		0 			35 	2 	22 		15 	0 	188 	482 		343 	11 	17 	0 	0 	0 	5 	0 		29 	6 	32 	0 	6 	0 		16 		7 	242 					0 	36 		0 		0 		6 	0 	51 	13 		21 	2 		C 	3 	11 		0 		1167 	157 	0 		C 	3532 
Burkina Faso	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	32 	0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					0 			1 		0 	0 				0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	32 
Burundi	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 	0 	6 			0 		4 			0 	0 		0 	0 	0 	0 		8 	0 		0 	0 	0 					69 					0 	0 				0 		0 	0 		0 			0 			0 	0 		0 		2 	0 	0 		0 	89 
Cambodia	0 		0 	1 			0 		0 		0 	0 			0 	C 		0 			0 		0 			0 		0 			2 	0 		0 	0 	1 	0 			0 		0 	1 	0 					194 	0 		0 		0 	4 		4 		0 		0 	0 		0 			0 			0 	3 	1 	0 		4 	0 	0 		0 	216 
Cameroon	0 		0 	0 			0 	0 	0 		0 	0 			0 	C 		0 			0 		0 			0 	642 	0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					12 			27 		0 	0 				0 		C 	0 		0 			0 			0 	0 		0 		91 	4 	0 		0 	775 
Canada	6 	6 	19754 	1914 	5 	209 	1593 	3513 	11634 	6 	52 	2 		789 	671 	8658 	221 	913 	15 	98 	46 	58 	2507 		8 	1277 	19383 	20238 	71 	67 	2607 	20 	294 	9 	0 	24790 	128 	204 	3077 	61176 	1196 	1794 	2721 	0 	84 	252 	35 	3 	43173 	29 	66 	99 	48 	9 	16347 	433 	23229 		91 	23 	75 	187 	18 	502 	C 	10 	48 	1097 	536 	10501 	29729 	78 	12 		26918 	808022 	168 		C 	1153555 
Cabo Verde	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 		0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					0 					0 	0 				0 		0 	73 		0 			0 			0 	0 		0 		0 	0 	0 		0 	74 
Cayman Islands	0 	2 	C 	4584 	24 	914 	1131 	3064 	8474 		893 	1 	14521 		636 	203760 	1409 	70 	12 	6041 	72 	8 	9036 	154 	32 	12235 	23602 	24066 	99 	455 	20125 	5 	50 	9 	379 	32605 	2118 	222 	3872 	575629 	6153 	31 	4300 	0 	7284 	8 	84 	6 	62277 	887 		278 	493 	0 	21618 	0 	4513 	3 	249 	233 	3 	5438 	0 	79 	8697 	34 	23 	430 	C 	7376 	30896 	339 	251 		98617 	796931 	120 	5 	C 	2007966 
Central African Republic	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 	0 	0 			5 	0 		0 	0 	0 	0 			0 		0 	0 	0 			0 		0 					0 	0 				0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	6 
Chad	0 		0 	0 			0 		0 		0 	0 			0 	0 		0 			0 		0 			0 		0 			0 	0 		0 	0 	0 	0 			0 		0 	0 	0 					0 					0 	0 				0 		0 	0 		0 			0 			0 	0 		0 		0 	0 	0 		0 	0 
